modality,condition,valid_pairs,mean_similarity,median_similarity,std_similarity,min_similarity,max_similarity
Activity,Aligned,703,0.3975488255181125,0.3945496116999473,0.09259117804052669,0.14846714628800653,0.6852821639942385
Geometry,Aligned,703,0.8573295611160261,0.9089427191779297,0.17736409551911606,0.007598609250246316,0.9751888492280814
Multimodal,Aligned,703,0.6303842458126782,0.6538025650152915,0.09839459245927237,0.23326478239330525,0.8071323468680253
