animal_a,animal_b,n_shared_ids,modality,condition,similarity
2022-07-20-01,2023-01-16-22,64,Multimodal,Aligned,0.5634658243519728
2022-07-20-01,2023-01-19-08,68,Geometry,Aligned,0.9008259367256694
2022-07-20-01,2023-01-19-08,68,Activity,Aligned,0.28016472889986804
2022-07-20-01,2023-01-19-08,68,Multimodal,Aligned,0.6270043163506157
2022-07-20-01,2023-01-19-15,44,Geometry,Aligned,0.7943581521880482
2022-07-20-01,2023-01-19-15,44,Activity,Aligned,0.4046797265480982
2022-07-20-01,2023-01-19-15,44,Multimodal,Aligned,0.6071674780141909
2022-07-20-01,2023-01-19-22,74,Geometry,Aligned,0.9228851521761751
2022-07-20-01,2023-01-19-22,74,Activity,Aligned,0.36098495595494046
2022-07-20-01,2023-01-19-22,74,Multimodal,Aligned,0.6617038613712235
2022-07-20-01,2023-01-23-01,63,Geometry,Aligned,0.8828444750116354
2022-07-20-01,2023-01-23-01,63,Activity,Aligned,0.3426607433565403
2022-07-20-01,2023-01-23-01,63,Multimodal,Aligned,0.6287612728731846
2022-07-20-01,2023-01-23-08,60,Geometry,Aligned,0.8785286735978768
2022-07-20-01,2023-01-23-08,60,Activity,Aligned,0.43965362272140407
2022-07-20-01,2023-01-23-08,60,Multimodal,Aligned,0.6574051675627602
2022-07-20-01,2023-01-23-15,72,Geometry,Aligned,0.8858990783978106
2022-07-20-01,2023-01-23-15,72,Activity,Aligned,0.5136040986634286
2022-07-20-01,2023-01-23-15,72,Multimodal,Aligned,0.7010770950072368
2022-07-20-01,2023-01-23-21,75,Geometry,Aligned,0.9370924969714182
2022-07-20-01,2023-01-23-21,75,Activity,Aligned,0.4821002069956035
2022-07-20-01,2023-01-23-21,75,Multimodal,Aligned,0.7155417039635564
2022-07-20-01,2022-06-28-01,61,Geometry,Aligned,0.12002816954558061
2022-07-20-01,2022-06-28-01,61,Activity,Aligned,0.5801158152314895
2022-07-20-01,2022-06-28-01,61,Multimodal,Aligned,0.3672135877673826
2022-07-20-01,2022-06-28-07,66,Geometry,Aligned,0.879980516369645
2022-07-20-01,2022-06-28-07,66,Activity,Aligned,0.5129202189550298
2022-07-20-01,2022-06-28-07,66,Multimodal,Aligned,0.7049732042616682
2022-07-20-01,2023-01-17-01,73,Geometry,Aligned,0.9131322714065243
2022-07-20-01,2023-01-17-01,73,Activity,Aligned,0.4314483410223073
2022-07-20-01,2023-01-17-01,73,Multimodal,Aligned,0.6888401236989589
2022-07-20-01,2023-01-17-07,63,Geometry,Aligned,0.9270969285177011
2022-07-20-01,2023-01-17-07,63,Activity,Aligned,0.46618330518357387
2022-07-20-01,2023-01-17-07,63,Multimodal,Aligned,0.7171717084747257
2022-07-20-01,2023-01-17-14,75,Geometry,Aligned,0.9184781802454571
2022-07-20-01,2023-01-17-14,75,Activity,Aligned,0.3637832656255265
2022-07-20-01,2023-01-17-14,75,Multimodal,Aligned,0.6022948253725521
2022-07-20-01,2023-01-18-01,63,Geometry,Aligned,0.9094169871439247
2022-07-20-01,2023-01-18-01,63,Activity,Aligned,0.47085421451205345
2022-07-20-01,2023-01-18-01,63,Multimodal,Aligned,0.7106677704017575
2022-12-21-06,2023-01-10-07,55,Geometry,Aligned,0.9641061701235483
2022-12-21-06,2023-01-10-07,55,Activity,Aligned,0.4315119001987563
2022-12-21-06,2023-01-10-07,55,Multimodal,Aligned,0.7063369437566508
2022-12-21-06,2023-01-10-14,56,Geometry,Aligned,0.8880819883183073
2022-12-21-06,2023-01-10-14,56,Activity,Aligned,0.506017951811074
2022-12-21-06,2023-01-10-14,56,Multimodal,Aligned,0.7155359600710827
2022-12-21-06,2023-03-07-01,52,Geometry,Aligned,0.917359002457385
2022-12-21-06,2023-03-07-01,52,Activity,Aligned,0.23725551163344344
2022-12-21-06,2023-03-07-01,52,Multimodal,Aligned,0.6120894357414345
2022-12-21-06,2022-06-14-01,46,Geometry,Aligned,0.9172140614169869
2022-12-21-06,2022-06-14-01,46,Activity,Aligned,0.3920459381540873
2022-12-21-06,2022-06-14-01,46,Multimodal,Aligned,0.671713956059262
2022-12-21-06,2022-06-14-07,54,Geometry,Aligned,0.9413466872780192
2022-12-21-06,2022-06-14-07,54,Activity,Aligned,0.32708159188932345
2022-12-21-06,2022-06-14-07,54,Multimodal,Aligned,0.6847966577479111
2022-12-21-06,2022-06-14-13,56,Geometry,Aligned,0.9446255533903063
2022-12-21-06,2022-06-14-13,56,Activity,Aligned,0.36802415325692456
2022-12-21-06,2022-06-14-13,56,Multimodal,Aligned,0.6724428366611225
2022-12-21-06,2022-07-15-06,42,Geometry,Aligned,0.9032709804402527
2022-12-21-06,2022-07-15-06,42,Activity,Aligned,0.18187609566081628
2022-12-21-06,2022-07-15-06,42,Multimodal,Aligned,0.5201310463848148
2022-12-21-06,2022-07-15-12,53,Geometry,Aligned,0.944164118955125
2022-12-21-06,2022-07-15-12,53,Activity,Aligned,0.4043913802511346
2022-12-21-06,2022-07-15-12,53,Multimodal,Aligned,0.687529698784405
2022-12-21-06,2022-07-26-01,46,Geometry,Aligned,0.9533923650131538
2022-12-21-06,2022-07-26-01,46,Activity,Aligned,0.35734184027164917
2022-12-21-06,2022-07-26-01,46,Multimodal,Aligned,0.6313178214827686
2022-12-21-06,2022-08-02-01,54,Geometry,Aligned,0.9440633982770495
2022-12-21-06,2022-08-02-01,54,Activity,Aligned,0.3250690198009412
2022-12-21-06,2022-08-02-01,54,Multimodal,Aligned,0.3901553596987086
2022-12-21-06,2023-01-05-01,50,Geometry,Aligned,0.8958029684895725
2022-12-21-06,2023-01-05-01,50,Activity,Aligned,0.4038404818679405
2022-12-21-06,2023-01-05-01,50,Multimodal,Aligned,0.695971400691186
2022-12-21-06,2023-01-05-18,52,Geometry,Aligned,0.9510780519941772
2022-12-21-06,2023-01-05-18,52,Activity,Aligned,0.3558295908274703
2022-12-21-06,2023-01-05-18,52,Multimodal,Aligned,0.6819349259193467
2022-12-21-06,2023-01-06-01,44,Geometry,Aligned,0.8737321844805509
2022-12-21-06,2023-01-06-01,44,Activity,Aligned,0.29226136390839735
2022-12-21-06,2023-01-06-01,44,Multimodal,Aligned,0.6155079904479446
2022-12-21-06,2023-01-06-08,47,Geometry,Aligned,0.9072730980263964
2022-12-21-06,2023-01-06-08,47,Activity,Aligned,0.24033309553373053
2022-12-21-06,2023-01-06-08,47,Multimodal,Aligned,0.6044450968420648
2022-12-21-06,2023-01-09-08,32,Geometry,Aligned,0.865578418126873
2022-12-21-06,2023-01-09-08,32,Activity,Aligned,0.1960041287480511
2022-12-21-06,2023-01-09-08,32,Multimodal,Aligned,0.5098607277923576
2022-12-21-06,2023-01-09-15,55,Geometry,Aligned,0.9513391301126667
2022-12-21-06,2023-01-09-15,55,Activity,Aligned,0.29530401464854233
2022-12-21-06,2023-01-09-15,55,Multimodal,Aligned,0.6691303172537326
2022-12-21-06,2023-01-09-22,55,Geometry,Aligned,0.9538102241008967
2022-12-21-06,2023-01-09-22,55,Activity,Aligned,0.29946971388466836
2022-12-21-06,2023-01-09-22,55,Multimodal,Aligned,0.6329137224644645
