fold,test_fish,neurid_top1,crf_id_top1,delta_top1
1,func_20150410,0.8832013574660633,0.9250565610859729,-0.041855203619909576
2,func_20150417,0.996206373292868,0.9782498735457764,0.01795649974709157
3,func_20161004,0.9895833333333334,0.9817708333333334,0.0078125
4,islet_20170202,0.9862637362637363,0.9626373626373627,0.023626373626373653
5,islet_20170216,0.9877049180327869,0.9474043715846995,0.04030054644808745
6,lineage_20160328,0.9786780383795309,0.9786780383795309,0.0
7,lineage_20170111,0.9995987158908507,0.9747191011235955,0.024879614767255198
8,lineage_20170925,0.9935897435897436,0.9826007326007326,0.010989010989011061
