method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
cpd,CPD,4,islet_20170202,,0,islet_20170202__gap60m__p000,140,0.8214285714285714,0.9928571428571429,0.8949489795918366,0.9428571428571428,1.0
cpd,CPD,4,islet_20170202,,1,islet_20170202__gap60m__p001,140,0.8214285714285714,0.9857142857142858,0.8975,0.9428571428571428,1.0
cpd,CPD,4,islet_20170202,,2,islet_20170202__gap60m__p002,140,0.7785714285714286,0.9928571428571429,0.8745238095238096,0.9714285714285714,1.0
cpd,CPD,4,islet_20170202,,3,islet_20170202__gap60m__p003,140,0.7571428571428571,0.9785714285714285,0.8638860544217687,0.8428571428571429,1.0
cpd,CPD,4,islet_20170202,,4,islet_20170202__gap60m__p004,140,0.8,0.9785714285714285,0.886734693877551,0.8142857142857143,1.0
cpd,CPD,4,islet_20170202,,5,islet_20170202__gap60m__p005,140,0.7857142857142857,0.9857142857142858,0.8813041125541125,0.7714285714285715,1.0
cpd,CPD,4,islet_20170202,,6,islet_20170202__gap60m__p006,140,0.8357142857142857,0.9857142857142858,0.9042942176870747,0.7714285714285715,1.0
cpd,CPD,4,islet_20170202,,7,islet_20170202__gap60m__p007,140,0.8785714285714286,1.0,0.9339285714285714,0.9,1.0
cpd,CPD,4,islet_20170202,,8,islet_20170202__gap60m__p008,140,0.9214285714285714,1.0,0.956547619047619,0.9428571428571428,1.0
cpd,CPD,4,islet_20170202,,9,islet_20170202__gap60m__p009,140,0.8857142857142857,1.0,0.9416666666666668,0.9714285714285714,1.0
cpd,CPD,4,islet_20170202,,10,islet_20170202__gap60m__p010,140,0.8785714285714286,1.0,0.930595238095238,0.9428571428571428,1.0
cpd,CPD,4,islet_20170202,,11,islet_20170202__gap60m__p011,140,0.9214285714285714,1.0,0.955595238095238,0.9428571428571428,1.0
cpd,CPD,4,islet_20170202,,12,islet_20170202__gap60m__p012,140,0.9285714285714286,1.0,0.963095238095238,0.9428571428571428,1.0
cpd,CPD,5,islet_20170216,,0,islet_20170216__gap60m__p000,122,0.8770491803278688,1.0,0.9357923497267758,0.9672131147540983,1.0
cpd,CPD,5,islet_20170216,,1,islet_20170216__gap60m__p001,122,0.8934426229508197,1.0,0.9439890710382512,0.9672131147540983,1.0
