identity,n_animals
CEPDL,38
M3L,38
I2L,37
I3,37
IL2DL,36
OLQDL,36
RIVL,36
RMER,36
AVDL,35
M3R,35
NSML,35
OLQDR,35
AIBL,34
AVAL,34
AWBL,34
I1L,34
NSMR,34
SMDVL,34
URXL,34
AIBR,33
AWCL,33
CEPVL,33
FLPL,33
IL1DR,33
OLLL,33
