dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
rld,4,42,15s,15,3,19,294,0.310657596371882,0.0272108843537415,0.1950113378684807,0.3741496598639456,0.2909094374924836,0.1598639455782313
rld,4,42,30s,30,3,19,294,0.31972789115646255,0.020408163265306117,0.2290249433106576,0.42403628117913833,0.3270104608453919,0.20975056689342406
rld,4,42,60s,60,3,19,294,0.3163265306122449,0.020408163265306145,0.22448979591836735,0.4331065759637189,0.3302208072152971,0.2108843537414966
rld,4,42,120s,120,3,19,294,0.3956916099773242,0.037414965986394544,0.29251700680272114,0.5204081632653061,0.3997598289770858,0.2766439909297052
rld,4,42,240s,240,3,19,294,0.45351473922902497,0.09863945578231292,0.35260770975056693,0.5839002267573696,0.46237855775855863,0.3163265306122449
rld,4,42,480s,480,3,19,294,0.5997732426303855,0.06122448979591838,0.48866213151927435,0.7052154195011339,0.5896812461346109,0.4603174603174603
rld,4,42,900s,900,3,19,294,0.7448979591836735,0.05102040816326525,0.6507936507936508,0.8299319727891157,0.7330338628225959,0.6167800453514739
rld,4,42,full,,1,19,294,1.0,0.0,0.6700680272108843,0.8435374149659864,0.7503898015168466,0.6462585034013606
