dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
rld,4,20240902-16-53-12,15s,start,15,0.0,15.359644799999987,1500,16,1.0416907557654045
rld,4,20240902-16-53-12,15s,middle,15,713.2635053999999,14.399666999999965,1500,15,1.0416907557654045
rld,4,20240902-16-53-12,15s,end,15,1425.567033,14.399666999999965,1500,15,1.0416907557654045
rld,4,20240902-16-53-12,30s,start,30,0.0,30.719289599999986,1500,32,1.0416907557654045
rld,4,20240902-16-53-12,30s,middle,30,705.583683,29.75931179999992,1500,31,1.0416907557654045
rld,4,20240902-16-53-12,30s,end,30,1410.2073882,29.759311800000035,1500,31,1.0416907557654045
rld,4,20240902-16-53-12,60s,start,60,0.0,60.47860139999999,1500,63,1.0416907557654045
rld,4,20240902-16-53-12,60s,middle,60,690.2240381999999,60.478601399999945,1500,63,1.0416907557654045
rld,4,20240902-16-53-12,60s,end,60,1380.4480764,59.51862360000001,1500,62,1.0416907557654045
rld,4,20240902-16-53-12,120s,start,120,0.0,120.95720279999998,1500,126,1.0416907557654045
rld,4,20240902-16-53-12,120s,middle,120,660.4647263999999,119.99722500000001,1500,125,1.0416907557654045
rld,4,20240902-16-53-12,120s,end,120,1319.9694749999999,119.99722500000013,1500,125,1.0416907557654045
rld,4,20240902-16-53-12,240s,start,240,0.0,240.9544278,1500,251,1.0416907557654045
rld,4,20240902-16-53-12,240s,middle,240,599.9861249999999,240.95442780000002,1500,251,1.0416907557654045
rld,4,20240902-16-53-12,240s,end,240,1199.97225,239.99444999999997,1500,250,1.0416907557654045
rld,4,20240902-16-53-12,480s,start,480,0.0,480.94887779999993,1500,501,1.0416907557654045
rld,4,20240902-16-53-12,480s,middle,480,479.98889999999994,480.94887779999993,1500,501,1.0416907557654045
rld,4,20240902-16-53-12,480s,end,480,959.9777999999999,479.9889000000001,1500,500,1.0416907557654045
rld,4,20240902-16-53-12,900s,start,900,0.0,900.4591763999999,1500,938,1.0416907557654045
rld,4,20240902-16-53-12,900s,middle,900,270.7137396,899.4991985999998,1500,937,1.0416907557654045
rld,4,20240902-16-53-12,900s,end,900,540.4675014,899.4991986,1500,937,1.0416907557654045
rld,4,20240902-16-53-12,full,full,,0.0,1439.9667,1500,1500,1.0416907557654045
rld,4,20240904-14-55-14,15s,start,15,0.0,15.359724800000034,1500,16,1.041685330195462
rld,4,20240904-14-55-14,15s,middle,15,713.2672203999999,14.39974200000006,1500,15,1.041685330195462
rld,4,20240904-14-55-14,15s,end,15,1425.5744579999998,14.39974200000006,1500,15,1.041685330195462
rld,4,20240904-14-55-14,30s,start,30,0.0,30.719449600000036,1500,32,1.041685330195462
rld,4,20240904-14-55-14,30s,middle,30,705.587358,29.75946680000004,1500,31,1.041685330195462
rld,4,20240904-14-55-14,30s,end,30,1410.2147332,29.759466799999927,1500,31,1.041685330195462
rld,4,20240904-14-55-14,60s,start,60,0.0,60.47891640000003,1500,63,1.041685330195462
rld,4,20240904-14-55-14,60s,middle,60,690.2276331999999,60.47891640000012,1500,63,1.041685330195462
rld,4,20240904-14-55-14,60s,end,60,1380.4552664,59.518933599999855,1500,62,1.041685330195462
rld,4,20240904-14-55-14,120s,start,120,0.0,120.95783280000002,1500,126,1.041685330195462
rld,4,20240904-14-55-14,120s,middle,120,660.4681664,119.99784999999997,1500,125,1.041685330195462
