mode,severity,folds,known_top1_real_mean,known_top1_real_sd,known_top1_with_dustbin_mean,known_top1_with_dustbin_sd,known_false_reject_rate_mean,known_false_reject_rate_sd,unknown_recall_mean,unknown_recall_sd,forced_match_rate_mean,forced_match_rate_sd,dustbin_precision_mean,dustbin_precision_sd,dustbin_f1_mean,dustbin_f1_sd,unknown_auroc_mean,unknown_auroc_sd,unknown_auprc_mean,unknown_auprc_sd
capacity_dustbin,0.0,5,0.6393422709575947,0.04608200406589754,0.5746774437276334,0.0546519939388289,0.2651524866815208,0.06713577370531275,,,,,,,,,,,,
capacity_dustbin,0.1,5,0.6274401530769033,0.04856362906739374,0.5530844043568626,0.0505792227769837,0.2924732277165337,0.06002501064655303,0.9023290681191366,0.028227784450565983,0.09767093188086352,0.02822778445056601,0.6583581524426287,0.05199092323514286,0.7607933554018407,0.04363189616394137,0.8459231690215775,0.07308233468549091,0.7242697780957339,0.1213197164739502
capacity_dustbin,0.2,5,0.6166691454483082,0.0557889121172634,0.5307172590539272,0.05286814773370753,0.320400747829222,0.06472538937621015,0.9233950236101662,0.017831133018135818,0.07660497638983373,0.0178311330181358,0.7818272624071696,0.03845689082225652,0.8464817807153816,0.02844916565539191,0.8343354988016352,0.06551170511103961,0.8190711929646788,0.07554354593192797
capacity_dustbin,0.3,5,0.589628889632155,0.05640606721865897,0.4965026184450365,0.060011626349643035,0.3570540399830213,0.05627218592004436,0.925164320829315,0.021068357693727953,0.07483567917068507,0.021068357693727936,0.8274937845434802,0.026522093065049667,0.8735250933235255,0.022759414940745216,0.8178848781720125,0.06627502144007018,0.8571611507229389,0.05498130104490984
capacity_dustbin,0.4,5,0.5840057443991886,0.05053044000691629,0.480255155192557,0.04391027598137544,0.38412939435324694,0.04888330548568955,0.9355565537279587,0.017035249740754013,0.06444344627204143,0.01703524974075403,0.8575892468671593,0.017255504705076575,0.8948178873064594,0.015389813209191095,0.8096517156992867,0.05875798223924246,0.8842787243891055,0.038129564444712175
capacity_dustbin,0.5,5,0.5670979545452568,0.05824386950867401,0.45286212961897643,0.053199556810574394,0.412155563496039,0.062499966141913325,0.9384350580585276,0.01299726946556915,0.06156494194147248,0.01299726946556915,0.8757612896751852,0.01754171204065977,0.9059358571605548,0.012637151943128562,0.8006150272230179,0.061744331433605186,0.8998275126205234,0.03519133834342766
ordinary,0.0,5,0.5938729097622757,0.06492032070452647,0.5938729097622757,0.06492032070452647,0.0,0.0,,,,,,,,,,,,
ordinary,0.1,5,0.5819807806992211,0.07302806037570046,0.5819807806992211,0.07302806037570046,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
ordinary,0.2,5,0.5639343284384066,0.0691707676944906,0.5639343284384066,0.0691707676944906,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
ordinary,0.3,5,0.5445457674163191,0.07164919499664084,0.5445457674163191,0.07164919499664084,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
ordinary,0.4,5,0.5392521151436349,0.05939218313830069,0.5392521151436349,0.05939218313830069,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
ordinary,0.5,5,0.5193333647461928,0.05861833793331052,0.5193333647461928,0.05861833793331052,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
