fold,severity,perturbation_seed,mode,recordings,known_queries,synthetic_unknown_queries,known_top1_real,known_top1_with_dustbin,known_false_reject_rate,unknown_recall,forced_match_rate,dustbin_precision,dustbin_f1,unknown_auroc,unknown_auprc,execution_device,checkpoint,corruption_root
0,0.2,2,ordinary,19,270,377,0.44814814814814813,0.44814814814814813,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p2
0,0.3,0,capacity_dustbin,19,270,565,0.4888888888888889,0.40370370370370373,0.43333333333333335,0.9345132743362832,0.06548672566371683,0.8186046511627907,0.8727272727272728,0.7433890527695838,0.7931088970232765,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
0,0.3,0,ordinary,19,270,565,0.4074074074074074,0.4074074074074074,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p0
0,0.3,1,capacity_dustbin,19,270,565,0.5,0.4222222222222222,0.4148148148148148,0.9380530973451328,0.06194690265486724,0.8255451713395638,0.8782104391052195,0.7521009505080302,0.8017865073677108,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
0,0.3,1,ordinary,19,270,565,0.43703703703703706,0.43703703703703706,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
0,0.3,2,capacity_dustbin,19,270,565,0.5148148148148148,0.42592592592592593,0.4111111111111111,0.9433628318584071,0.05663716814159292,0.827639751552795,0.8817204301075268,0.7433235004916421,0.794483650638912,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
0,0.3,2,ordinary,19,270,565,0.45185185185185184,0.45185185185185184,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
0,0.4,0,capacity_dustbin,19,270,754,0.5111111111111111,0.42962962962962964,0.44074074074074077,0.9535809018567639,0.04641909814323608,0.8579952267303103,0.9032663316582915,0.7468710089399745,0.8420322394535553,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
0,0.4,0,ordinary,19,270,754,0.44074074074074077,0.44074074074074077,0.0,0.0,1.0,,,,,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
0,0.4,1,capacity_dustbin,19,270,754,0.4925925925925926,0.4,0.4666666666666667,0.9509283819628647,0.049071618037135334,0.8505338078291815,0.8979336255479022,0.7454022988505747,0.8411801796906411,cuda:0,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
