mode,severity,fold,perturbation_replicates,known_top1_real,known_top1_with_dustbin,known_false_reject_rate,unknown_recall,forced_match_rate,dustbin_precision,dustbin_f1,unknown_auroc,unknown_auprc
capacity_dustbin,0.0,0,1,0.5814814814814815,0.5074074074074074,0.35555555555555557,,,,,,
capacity_dustbin,0.0,1,1,0.697986577181208,0.6375838926174496,0.21476510067114093,,,,,,
capacity_dustbin,0.0,2,1,0.6120401337792643,0.5284280936454849,0.30434782608695654,,,,,,
capacity_dustbin,0.0,3,1,0.6351351351351351,0.6047297297297297,0.1891891891891892,,,,,,
capacity_dustbin,0.0,4,1,0.6700680272108843,0.5952380952380952,0.2619047619047619,,,,,,
capacity_dustbin,0.1,0,3,0.5555555555555556,0.48148148148148145,0.36172839506172844,0.8977072310405644,0.10229276895943566,0.6346028154851684,0.7434969942673534,0.7614409824286367,0.5934399414869004
capacity_dustbin,0.1,1,3,0.674496644295302,0.6040268456375839,0.22483221476510065,0.9135802469135802,0.08641975308641976,0.7204374765120433,0.8055886334193616,0.8848229821384184,0.7802607870603021
capacity_dustbin,0.1,2,3,0.6020066889632107,0.5206243032329989,0.34002229654403565,0.8576998050682262,0.1423001949317739,0.5908704403581352,0.6995854574315455,0.7756719930632975,0.5962810546863673
capacity_dustbin,0.1,3,3,0.6441441441441441,0.5844594594594594,0.23986486486486483,0.9340866290018832,0.06591337099811678,0.699531490771316,0.7999484505714621,0.9269672214587468,0.854595784046265
capacity_dustbin,0.1,4,3,0.6609977324263038,0.5748299319727891,0.29591836734693877,0.9085714285714287,0.09142857142857146,0.6463485390864815,0.7553472413194807,0.8807126660187885,0.796771323198835
capacity_dustbin,0.2,0,3,0.5308641975308642,0.46049382716049386,0.391358024691358,0.9310344827586207,0.0689655172413793,0.7685889423360143,0.8420417595661275,0.7627795788715329,0.7353208121531786
capacity_dustbin,0.2,1,3,0.6633109619686801,0.5838926174496645,0.2371364653243848,0.9300087489063867,0.0699912510936133,0.8337138308502509,0.8792268990787604,0.8808739511587897,0.8762372566149321
capacity_dustbin,0.2,2,3,0.5897435897435898,0.48940914158305465,0.37792642140468224,0.8973607038123167,0.1026392961876833,0.7303066383668962,0.805224462515317,0.7688482625369021,0.742915263395327
capacity_dustbin,0.2,3,3,0.6509009009009009,0.5574324324324325,0.28265765765765766,0.9438202247191012,0.05617977528089887,0.8007341554054909,0.8663634352521142,0.9069459206397408,0.8975311617599256
capacity_dustbin,0.2,4,3,0.6485260770975056,0.5623582766439909,0.3129251700680272,0.9147509578544062,0.08524904214559385,0.7757927450771954,0.8395523471645893,0.8522297808012094,0.8433514709000308
capacity_dustbin,0.3,0,3,0.5012345679012346,0.417283950617284,0.419753086419753,0.9386430678466077,0.06135693215339233,0.8239298580183831,0.8775527139800063,0.7462711679230853,0.7964596850099664
capacity_dustbin,0.3,1,3,0.6342281879194631,0.5514541387024608,0.2863534675615213,0.9346289752650176,0.06537102473498228,0.8611127191712935,0.8963438473230615,0.8649477079232576,0.8978660227451251
capacity_dustbin,0.3,2,3,0.5652173913043478,0.4503901895206243,0.40914158305462656,0.8910761154855642,0.10892388451443573,0.7872713741023746,0.8359455641253343,0.7495808425284632,0.800289856564332
capacity_dustbin,0.3,3,3,0.6227477477477478,0.5157657657657658,0.34009009009009006,0.9425717852684145,0.05742821473158555,0.8333588331293349,0.884602418950363,0.8893085501231569,0.9123512744304813
capacity_dustbin,0.3,4,3,0.6247165532879819,0.5476190476190476,0.3299319727891156,0.9189016602809706,0.0810983397190294,0.8317961382960148,0.8731809222388626,0.8393161223620994,0.8788389148647888
capacity_dustbin,0.4,0,3,0.5012345679012346,0.4160493827160494,0.4481481481481482,0.9491600353669319,0.05083996463306809,0.8553962885604417,0.8998314449899779,0.7431329207191276,0.8400881909689647
