setting,severity,folds,known_top1_real_mean,known_top1_real_sd,reject_aware_top1_mean,reject_aware_top1_sd,known_false_reject_rate_mean,known_false_reject_rate_sd,unknown_recall_mean,unknown_recall_sd,unknown_precision_mean,unknown_precision_sd
binary_0_5,0.1,5,0.6274401530769033,0.04856362906739374,0.5766865709792329,0.05528414942437928,0.20245872895476186,0.07371534056593752,0.7082577127061218,0.11375416964373405,0.687677508922623,0.08857105004940549
binary_0_5,0.2,5,0.6166691454483082,0.0557889121172634,0.5571813227477629,0.05799005996102767,0.22548846212664347,0.07143409562582748,0.7379450557172627,0.09081833320780057,0.803001562939567,0.05468597143269398
binary_0_5,0.3,5,0.589628889632155,0.05640606721865897,0.5235237368160097,0.06460300682560252,0.2598957087294103,0.08044903143911165,0.7502979927549627,0.08750419370958777,0.8433421341215903,0.041058962444933934
binary_0_5,0.4,5,0.5840057443991886,0.05053044000691629,0.5096469855268333,0.0488370047136879,0.28234315573283436,0.07182225489012646,0.7692752977348679,0.09150404769584149,0.870893888404645,0.02854990960781316
binary_0_5,0.5,5,0.5670979545452568,0.05824386950867401,0.48610013185992457,0.058296054619875096,0.30837417100905923,0.08098593921763665,0.7805520817050859,0.09038930767210837,0.8871126387355279,0.025439309192880944
current_argmax,0.1,5,0.6274401530769033,0.04856362906739374,0.5530844043568626,0.0505792227769837,0.2924732277165337,0.06002501064655303,0.9023290681191366,0.028227784450565983,0.6583581524426287,0.05199092323514286
current_argmax,0.2,5,0.6166691454483082,0.0557889121172634,0.5307172590539272,0.05286814773370753,0.320400747829222,0.06472538937621015,0.9233950236101662,0.017831133018135818,0.7818272624071696,0.03845689082225652
current_argmax,0.3,5,0.589628889632155,0.05640606721865897,0.4965026184450365,0.060011626349643035,0.3570540399830213,0.05627218592004436,0.925164320829315,0.021068357693727953,0.8274937845434802,0.026522093065049667
current_argmax,0.4,5,0.5840057443991886,0.05053044000691629,0.480255155192557,0.04391027598137544,0.38412939435324694,0.04888330548568955,0.9355565537279587,0.017035249740754013,0.8575892468671593,0.017255504705076575
current_argmax,0.5,5,0.5670979545452568,0.05824386950867401,0.45286212961897643,0.053199556810574394,0.412155563496039,0.062499966141913325,0.9384350580585276,0.01299726946556915,0.8757612896751852,0.01754171204065977
log_margin_val_r80,0.1,5,0.6274401530769033,0.04856362906739374,0.6010255066951886,0.0544445820927894,0.16262661791306868,0.05975221462163004,0.7543544863414028,0.045762683406703544,0.7457366859452345,0.07954654355425836
log_margin_val_r80,0.2,5,0.6166691454483082,0.0557889121172634,0.5819322590006376,0.05705999250486423,0.18209270357421595,0.06203518731159807,0.769602349002765,0.04343433668421354,0.8405095037727806,0.05134819985918621
log_margin_val_r80,0.3,5,0.589628889632155,0.05640606721865897,0.5518234431002783,0.06308795521191794,0.20727648632181267,0.06700254115006381,0.7774983988511426,0.037867155627399104,0.8745415762578823,0.038866858813061504
log_margin_val_r80,0.4,5,0.5840057443991886,0.05053044000691629,0.5387755326857276,0.05305169977756506,0.2302228218144541,0.06282566997097641,0.8061266732691162,0.036074169668243485,0.8966624453469108,0.02680414198792518
log_margin_val_r80,0.5,5,0.5670979545452568,0.05824386950867401,0.5202194885223912,0.06466928574243304,0.244497522744775,0.069419627968872,0.8153469035950289,0.028696162134206584,0.9119444559517531,0.023292830811750955
log_margin_val_r90,0.1,5,0.6274401530769033,0.04856362906739374,0.572160628355551,0.05088757229295009,0.24309630172081018,0.06707938394260474,0.8620401348632095,0.033212176808631956,0.6904165775053777,0.06947464457657675
log_margin_val_r90,0.2,5,0.6166691454483082,0.0557889121172634,0.5522280321782177,0.054133864358716165,0.2651551572965555,0.06298789470941382,0.8843020623775819,0.02166522205265013,0.8057600085374836,0.04300265375171931
log_margin_val_r90,0.3,5,0.589628889632155,0.05640606721865897,0.5210692405842265,0.06366316198636937,0.3023388535572592,0.060258481892651185,0.8895231234655887,0.021651224965022652,0.8449903961977195,0.030390567081355506
log_margin_val_r90,0.4,5,0.5840057443991886,0.05053044000691629,0.5046756597883503,0.04870895544017786,0.32591401649997953,0.051350622640729766,0.9005856420098268,0.021215316188945628,0.872336558610067,0.019839307125871848
log_margin_val_r90,0.5,5,0.5670979545452568,0.05824386950867401,0.4825683661738382,0.05761171945136957,0.34457864402151367,0.058381546005266856,0.9075634888747042,0.015598074537742769,0.890684398701517,0.018519327984739414
log_margin_val_r95,0.1,5,0.6274401530769033,0.04856362906739374,0.5407912187957209,0.04964263444885661,0.3201745845988346,0.06553343449393885,0.9243950428488044,0.021471501066858,0.6436428621895778,0.052632326229909536
log_margin_val_r95,0.2,5,0.6166691454483082,0.0557889121172634,0.5170913050762842,0.05076323976337556,0.35145283068289446,0.06380044465498592,0.9397181233127068,0.011411808965337562,0.7686707775731797,0.0370676614968153
log_margin_val_r95,0.3,5,0.589628889632155,0.05640606721865897,0.47769802835985953,0.05719287109779104,0.39168267611832025,0.060382977127957906,0.941575220270724,0.01524541155270144,0.8164958396029173,0.028738458053368568
