raw_schema_version,fold,severity,perturbation_seed,setting,recordings,known_queries,synthetic_unknown_queries,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision,execution_device,checkpoint,corruption_root,raw_probabilities_reused_from
3,0,0.1,0,probability_val_r80,19,270,189,0.5666666666666667,0.5148148148148148,0.29259259259259257,0.6878306878306878,0.6220095693779905,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,0,probability_val_r90,19,270,189,0.5666666666666667,0.4888888888888889,0.37407407407407406,0.8148148148148148,0.6039215686274509,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,0,probability_val_r95,19,270,189,0.5666666666666667,0.4703703703703704,0.4148148148148148,0.9047619047619048,0.6042402826855123,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,0,log_margin_val_r80,19,270,189,0.5666666666666667,0.5407407407407407,0.23333333333333334,0.7037037037037037,0.6785714285714286,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,0,log_margin_val_r90,19,270,189,0.5666666666666667,0.5259259259259259,0.2962962962962963,0.8518518518518519,0.6680497925311203,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,0,log_margin_val_r95,19,270,189,0.5666666666666667,0.5,0.36666666666666664,0.9047619047619048,0.6333333333333333,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p0/neurid_original/queries.csv.gz
3,0,0.1,1,current_argmax,19,270,189,0.5296296296296297,0.44814814814814813,0.362962962962963,0.9206349206349206,0.6397058823529411,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,binary_0_5,19,270,189,0.5296296296296297,0.46296296296296297,0.3074074074074074,0.7301587301587301,0.6244343891402715,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,probability_val_r80,19,270,189,0.5296296296296297,0.4666666666666667,0.3,0.6931216931216931,0.6179245283018868,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,probability_val_r90,19,270,189,0.5296296296296297,0.4444444444444444,0.35185185185185186,0.8253968253968254,0.6215139442231076,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,probability_val_r95,19,270,189,0.5296296296296297,0.42592592592592593,0.4222222222222222,0.8888888888888888,0.5957446808510638,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,log_margin_val_r80,19,270,189,0.5296296296296297,0.4962962962962963,0.22592592592592592,0.7037037037037037,0.6855670103092784,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,log_margin_val_r90,19,270,189,0.5296296296296297,0.4666666666666667,0.3,0.8412698412698413,0.6625,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,1,log_margin_val_r95,19,270,189,0.5296296296296297,0.44814814814814813,0.362962962962963,0.9206349206349206,0.6397058823529411,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p1,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p1/neurid_original/queries.csv.gz
3,0,0.1,2,current_argmax,19,270,189,0.5703703703703704,0.4962962962962963,0.35555555555555557,0.8677248677248677,0.6307692307692307,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,binary_0_5,19,270,189,0.5703703703703704,0.5074074074074074,0.28888888888888886,0.6878306878306878,0.625,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,probability_val_r80,19,270,189,0.5703703703703704,0.5111111111111111,0.2814814814814815,0.6613756613756614,0.6218905472636815,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,probability_val_r90,19,270,189,0.5703703703703704,0.5,0.34074074074074073,0.798941798941799,0.6213991769547325,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,probability_val_r95,19,270,189,0.5703703703703704,0.4703703703703704,0.4111111111111111,0.873015873015873,0.5978260869565217,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,log_margin_val_r80,19,270,189,0.5703703703703704,0.5296296296296297,0.22592592592592592,0.7037037037037037,0.6855670103092784,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,log_margin_val_r90,19,270,189,0.5703703703703704,0.5185185185185185,0.2851851851851852,0.798941798941799,0.6622807017543859,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.1,2,log_margin_val_r95,19,270,189,0.5703703703703704,0.4962962962962963,0.35185185185185186,0.8677248677248677,0.6332046332046332,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.10_p2/neurid_original/queries.csv.gz
3,0,0.2,0,current_argmax,19,270,377,0.5222222222222223,0.45925925925925926,0.37777777777777777,0.946949602122016,0.7777777777777778,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p0,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/formal_rejection_comparison_ours/cells/fold0/outlier_l0.20_p0/neurid_original/queries.csv.gz
