setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
binary_0_5,0.0,0,1,0.5814814814814815,0.5222222222222223,0.29259259259259257,,
binary_0_5,0.0,1,1,0.697986577181208,0.6644295302013423,0.1040268456375839,,
binary_0_5,0.0,2,1,0.6120401337792643,0.5518394648829431,0.2140468227424749,,
binary_0_5,0.0,3,1,0.6351351351351351,0.6216216216216216,0.11486486486486487,,
binary_0_5,0.0,4,1,0.6700680272108843,0.6122448979591837,0.20748299319727892,,
binary_0_5,0.1,0,3,0.5555555555555556,0.4950617283950618,0.30123456790123454,0.7037037037037037,0.620527973950184
binary_0_5,0.1,1,3,0.674496644295302,0.6331096196868008,0.12416107382550336,0.6208112874779542,0.7599744394097828
binary_0_5,0.1,2,3,0.6020066889632107,0.5473801560758083,0.23634336677814938,0.5789473684210525,0.5832790378429323
binary_0_5,0.1,3,3,0.6441441441441441,0.6081081081081082,0.13513513513513514,0.8568738229755178,0.7912427753768322
binary_0_5,0.1,4,3,0.6609977324263038,0.5997732426303855,0.21541950113378686,0.7809523809523808,0.6833633180333839
binary_0_5,0.2,0,3,0.5308641975308642,0.471604938271605,0.3197530864197531,0.7674624226348365,0.7701903286552895
binary_0_5,0.2,1,3,0.6633109619686801,0.6140939597315437,0.13758389261744966,0.6657917760279966,0.8608692286853206
binary_0_5,0.2,2,3,0.5897435897435898,0.5250836120401338,0.2608695652173913,0.6256109481915934,0.7323573955980281
binary_0_5,0.2,3,3,0.6509009009009009,0.5900900900900901,0.17567567567567566,0.849250936329588,0.8532477426339403
binary_0_5,0.2,4,3,0.6485260770975056,0.5850340136054423,0.2335600907029478,0.7816091954022989,0.7983431191252572
binary_0_5,0.3,0,3,0.5012345679012346,0.42345679012345677,0.3691358024691358,0.8112094395280236,0.8213857120877993
binary_0_5,0.3,1,3,0.6342281879194631,0.5816554809843401,0.1498881431767338,0.6813898704358068,0.896193991556194
