setting,severity,capacity_dustbin_real_top1,no_dustbin_forced_top1,ranking_gain,rejection_cost,net_gain_over_no_dustbin_forced,rejection_cost_below_ranking_gain
binary_0_5,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.04487072358013211,0.0005986376151868589,True
binary_0_5,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.050753582097670336,-0.005294209719988174,False
binary_0_5,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.05948782270054531,-0.006753005690643743,False
binary_0_5,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.06610515281614526,-0.021022030600309383,False
binary_0_5,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.07435875887235532,-0.029605129616801618,False
binary_0_5,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.08099782268533223,-0.03323323288626828,False
current_argmax,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.06466482722996125,-0.019195466034642283,False
current_argmax,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.07435574872004069,-0.028896376342358532,False
current_argmax,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.085951886394381,-0.033217069384479436,False
current_argmax,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.09312627118711847,-0.04804314897128259,False
current_argmax,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.1037505892066316,-0.0589969599510779,False
current_argmax,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.11423582492628037,-0.06647123512721642,False
log_margin_val_r80,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.030272358784385167,0.015197002410933802,True
log_margin_val_r80,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.026414646381714646,0.019044725995967515,True
log_margin_val_r80,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.03473688644767059,0.01799793056223098,True
log_margin_val_r80,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.037805446531876674,0.007277675683959206,True
log_margin_val_r80,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.04523021171346098,-0.00047658245790727083,False
log_margin_val_r80,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.046878466022865606,0.0008861237761983443,True
log_margin_val_r90,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.05144308606895631,-0.005973724873637343,False
log_margin_val_r90,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.055279524721352225,-0.009820152343670063,False
log_margin_val_r90,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.0644411132700905,-0.011706296260188931,False
log_margin_val_r90,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.06855964904792844,-0.02347652683209256,False
log_margin_val_r90,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.07933008461083835,-0.03457645535528464,False
log_margin_val_r90,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.0845295883714186,-0.03676499857235466,False
log_margin_val_r95,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.07470951133671544,-0.02924015014139647,False
log_margin_val_r95,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.08664893428118237,-0.041189561903500205,False
log_margin_val_r95,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.099577840372024,-0.04684302336212243,False
log_margin_val_r95,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.11193086127229546,-0.06684773905645958,False
log_margin_val_r95,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.12229766846264678,-0.07754403920709307,False
log_margin_val_r95,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.13170876071386028,-0.08394417091479633,False
probability_val_r80,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.05213603354105245,-0.006666672345733482,False
probability_val_r80,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.06185149008971036,-0.016392117712028198,False
probability_val_r80,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.07238730514217895,-0.01965248813227738,False
probability_val_r80,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.07742258848640926,-0.03233946627057338,False
probability_val_r80,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.08897724853954797,-0.044223619283994264,False
probability_val_r80,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.09471542661796523,-0.046950836818901276,False
probability_val_r90,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.082231459468735,-0.03676209827341603,False
probability_val_r90,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.09362662530510302,-0.048167252927420856,False
probability_val_r90,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.11242702173142527,-0.0596922047215237,False
probability_val_r90,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.120212579120134,-0.07512945690429812,False
probability_val_r90,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.13981988133654866,-0.09506625208099495,False
probability_val_r90,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.15272782668686352,-0.10496323688779957,False
probability_val_r95,0.0,0.6393422709575947,0.5938729097622757,0.04546936119531897,0.11541089234928081,-0.06994153115396184,False
probability_val_r95,0.1,0.6274401530769033,0.5819807806992211,0.04545937237768216,0.1337391587191495,-0.08827978634146733,False
probability_val_r95,0.2,0.6166691454483082,0.5639343284384066,0.05273481700990157,0.15432004948866845,-0.10158523247876688,False
probability_val_r95,0.3,0.589628889632155,0.5445457674163191,0.04508312221583588,0.1681357360273391,-0.12305261381150323,False
probability_val_r95,0.4,0.5840057443991886,0.5392521151436349,0.044753629255553706,0.19134465731649164,-0.14659102806093793,False
probability_val_r95,0.5,0.5670979545452568,0.5193333647461928,0.04776458979906395,0.20613937224439266,-0.1583747824453287,False
