setting,folds,known_top1_real_mean,known_top1_real_sd,reject_aware_top1_mean,reject_aware_top1_sd,known_false_reject_rate_mean,known_false_reject_rate_sd,unknown_recall_mean,unknown_recall_sd,unknown_precision_mean,unknown_precision_sd
binary_0_5,5,0.5969683774203622,0.053526575861492336,0.5306277495859527,0.05644286658819879,0.2557120453105418,0.07441724541446242,0.7492656281236602,0.09251138830968772,0.8184055466247907,0.04665525473100958
current_argmax,5,0.5969683774203622,0.053526575861492336,0.502684313333472,0.051601807148595094,0.3532425946756126,0.057288075219866764,0.9249760048690208,0.018577136943516776,0.8002059471871246,0.02977475479852347
log_margin_val_r80,5,0.5969683774203622,0.053526575861492336,0.5587552460008446,0.058045057984385244,0.20534323047366523,0.06392273559561965,0.7845857622118911,0.034857027536556,0.8538789334549122,0.04369596858570095
log_margin_val_r90,5,0.5969683774203622,0.053526575861492336,0.5265403854160369,0.05445337939438829,0.2962165946192236,0.05930380358285261,0.8888028903181823,0.020890704227261383,0.8208375879104329,0.03587428823363655
log_margin_val_r95,5,0.5969683774203622,0.053526575861492336,0.4865355643999606,0.049579054651056484,0.3865047562938958,0.05712877477604602,0.9425497898226107,0.012620421895258627,0.7890412120101036,0.03006016631796511
probability_val_r80,5,0.5969683774203622,0.053526575861492336,0.5178975656452,0.06312568488442166,0.2840870535397054,0.08636320019802783,0.7912255231570742,0.03488351661725289,0.8116562686885638,0.053956857808597145
probability_val_r90,5,0.5969683774203622,0.053526575861492336,0.4732055905843476,0.06216911025183,0.3820695748419844,0.08734125661705903,0.8892640160845895,0.019744332989985888,0.7827524508344705,0.04569710043073755
probability_val_r95,5,0.5969683774203622,0.053526575861492336,0.42623258266115405,0.058444564664383296,0.4683054328531284,0.08205807281414253,0.942678718645958,0.01425638194004474,0.757539154255088,0.03852859904987041
