fold,setting,score,minimum_unknown_recall,threshold,validation_unknown_recall,validation_known_false_reject_rate,validation_reject_aware_top1,validation_known_queries,validation_unknown_queries
0,probability_val_r80,dustbin_probability,0.8,0.5158785581588744,0.8000703977472721,0.2944812362030905,0.5163355408388521,4530,8523
0,log_margin_val_r80,log_dustbin_margin,0.8,1.2738847732543943,0.8000703977472721,0.2055187637969095,0.5534216335540839,4530,8523
0,probability_val_r90,dustbin_probability,0.9,0.40972584486007685,0.900035198873636,0.3655629139072848,0.4878587196467991,4530,8523
0,log_margin_val_r90,log_dustbin_margin,0.9,0.6354784965515136,0.900035198873636,0.2783664459161148,0.5275938189845475,4530,8523
0,probability_val_r95,dustbin_probability,0.95,0.31482365727424616,0.9500175994368181,0.42891832229580573,0.4573951434878587,4530,8523
0,log_margin_val_r95,log_dustbin_margin,0.95,0.02434873580932617,0.9500175994368181,0.36578366445916116,0.49271523178807947,4530,8523
1,probability_val_r80,dustbin_probability,0.8,0.35420125722885126,0.8000782472613458,0.28140589569160995,0.5206349206349207,4410,7668
1,log_margin_val_r80,log_dustbin_margin,0.8,0.7255663871765136,0.8000782472613458,0.1800453514739229,0.5789115646258504,4410,7668
1,probability_val_r90,dustbin_probability,0.9,0.25347974896430964,0.9001043296817944,0.373015873015873,0.472562358276644,4410,7668
1,log_margin_val_r90,log_dustbin_margin,0.9,0.09126853942871092,0.9001043296817944,0.2639455782312925,0.545578231292517,4410,7668
1,probability_val_r95,dustbin_probability,0.95,0.17959229648113248,0.9500521648408973,0.4827664399092971,0.4163265306122449,4410,7668
1,log_margin_val_r95,log_dustbin_margin,0.95,-0.5090965032577516,0.9500521648408973,0.3782312925170068,0.4888888888888889,4410,7668
2,probability_val_r80,dustbin_probability,0.8,0.36862060427665705,0.8,0.3396825396825397,0.48480725623582765,4410,7995
2,log_margin_val_r80,log_dustbin_margin,0.8,0.8088960647583007,0.8,0.2038548752834467,0.5591836734693878,4410,7995
2,probability_val_r90,dustbin_probability,0.9,0.24043880403041837,0.9000625390869293,0.48253968253968255,0.4147392290249433,4410,7995
2,log_margin_val_r90,log_dustbin_margin,0.9,0.1804547309875488,0.9000625390869293,0.3160997732426304,0.51859410430839,4410,7995
2,probability_val_r95,dustbin_probability,0.95,0.16773016750812528,0.9500938086303939,0.5798185941043084,0.34784580498866213,4410,7995
2,log_margin_val_r95,log_dustbin_margin,0.95,-0.36774921417236334,0.9500938086303939,0.41564625850340137,0.47052154195011336,4410,7995
3,probability_val_r80,dustbin_probability,0.8,0.5653676986694335,0.8000764525993884,0.20671140939597316,0.5718120805369128,4470,7848
3,log_margin_val_r80,log_dustbin_margin,0.8,1.3428339958190916,0.8000764525993884,0.158165548098434,0.5979865771812081,4470,7848
3,probability_val_r90,dustbin_probability,0.9,0.4397511780261993,0.9001019367991845,0.2876957494407159,0.5436241610738255,4470,7848
3,log_margin_val_r90,log_dustbin_margin,0.9,0.6301063299179076,0.9001019367991845,0.2425055928411633,0.5747203579418344,4470,7848
3,probability_val_r95,dustbin_probability,0.95,0.33120337128639216,0.9500509683995922,0.37404921700223714,0.5022371364653244,4470,7848
3,log_margin_val_r95,log_dustbin_margin,0.95,0.056045651435852044,0.9500509683995922,0.3295302013422819,0.5393736017897092,4470,7848
4,probability_val_r80,dustbin_probability,0.8,0.5261994600296019,0.8000235821247494,0.28258706467661693,0.4860696517412935,4020,8481
4,log_margin_val_r80,log_dustbin_margin,0.8,1.1797909736633299,0.8000235821247494,0.22338308457711442,0.5124378109452736,4020,8481
4,probability_val_r90,dustbin_probability,0.9,0.34225055575370783,0.9000117910623747,0.3990049751243781,0.4552238805970149,4020,8481
4,log_margin_val_r90,log_dustbin_margin,0.9,0.4111218452453613,0.9000117910623747,0.3238805970149254,0.4843283582089552,4020,8481
4,probability_val_r95,dustbin_probability,0.95,0.2309106737375259,0.9500058955311873,0.49502487562189057,0.4134328358208955,4020,8481
4,log_margin_val_r95,log_dustbin_margin,0.95,-0.22839593887329104,0.9500058955311873,0.4161691542288557,0.4534825870646766,4020,8481
