activity_hard_scores,activity_max_absolute_hard_gap,activity_mean_margin,activity_same,activity_strongest_margin,fold,full_prediction,geometry_hard_scores,geometry_max_absolute_hard_gap,geometry_mean_margin,geometry_same,geometry_strongest_margin,hard_candidates,identity,neuron_row,query_record,reference_record,wo_activity_prediction,wo_activity_prediction_is_hard,geometry_ambiguous_bottom_quartile,activity_beats_strongest_hard,strict_case
0.235320329606;0.822564840077;0.383917115498,0.5805449522921861,0.33526452017110675,0.8158652818983662,-0.006699558178768661,0,AVEL,0.948157156591;0.910961155812;0.93364011019,0.04254799956520772,0.022589681179969623,0.953509155377505,0.0053519987869642405,RMDL;AVAL;ASHL,AVEL,40,2022-07-26-01,2023-01-23-21,AIBL,False,False,False,False
0.447577332156;0.424792274596;-0.212695562503,0.5191649144327538,0.08657800384642611,0.30646935192952385,-0.14110798022659954,0,CEPVL,0.836019820655;0.850210330569;0.729974252226,0.17501625818317612,0.0995890425923831,0.9049905104089985,0.05478017983954442,OLQVL;RMEL;URYVL,CEPVL,47,2022-07-26-01,2023-01-23-21,RMEV,False,False,False,False
-0.258854643973;-0.297172730062;0.114975463032,1.0774533393772496,0.9272979129829393,0.7802806093153997,0.6653051462833531,0,URYVL,0.947782234578;0.94012568314;0.908436428055,0.04551072442318749,0.02183237055375087,0.9539471524778996,0.006164917899833533,URBL;OLLL;OLQVL,URYVL,51,2022-07-26-01,2023-01-23-21,OLQVL,True,False,True,False
0.490143554416;0.505471184443;0.481757533511,0.07145627941579402,-0.058442519096098766,0.43401490502739504,-0.07145627941579402,0,ASHL,0.946321952625;0.83298316257;0.914343871957,0.11241908447957816,0.047519251332422296,0.9454022470495468,-0.0009197055751988259,AIBL;AVEL;ASGL,ASHL,55,2022-07-26-01,2023-01-23-21,RICL,False,False,False,False
-0.317000398529;0.343145883484;0.568339594928,0.9574895959712524,0.44232750414772537,0.6404891974419249,0.07214960251370628,0,RMDDR,0.971114850574;0.925354884948;0.940400933596,0.04981181218680064,0.029543140762041342,0.9751666971349059,0.004051846560575223,AIBR;RMDR;RMDDL,RMDDR,58,2022-07-26-01,2023-01-23-21,SMBVR,False,False,True,False
-0.635830264083;0.270778529404;0.767139968793,1.3313947038137068,0.5615350283595332,0.6955644397308912,-0.07157552906230291,0,RMER,0.940690778842;0.912297855431;0.87441567862,0.08160927235606563,0.046890180011944005,0.9560249509761981,0.015334172134376822,URYVR;OLQDR;IL1R,RMER,69,2022-07-26-01,2023-01-23-21,RMDVR,False,False,False,False
0.0209915904873;0.186699388844;-0.233235216493,0.4816818377016785,0.25696136692906735,0.24844662120849284,0.06174723236431859,0,URYVR,0.890180679813;0.952583705233;0.938283051206,0.0463822533768774,0.009547121105335732,0.9365629331895137,-0.016020772043945808,RMER;IL1R;OLLR,URYVR,74,2022-07-26-01,2023-01-23-21,OLQVR,False,False,True,False
0.587190733627;-0.011337094328;0.308721341997,0.41254783408128987,0.10635241265466044,0.4012107397533024,-0.1859799938738757,0,IL1DL,0.953010214857;0.958683777002;0.956554642211,0.015602023542006682,0.012529360375604481,0.9686122383988273,0.00992846139721093,OLQDL;URYDL;IL1DR,IL1DL,75,2022-07-26-01,2023-01-23-21,URYDL,True,False,False,False
-0.141268605056;-0.359435009515;-0.605654938405,1.1435509111476467,0.9066821570683261,0.537895972742839,0.6791645777991872,0,RMEV,0.916581858525;0.833026457891;0.831320263647,0.07399109462236153,0.045001831581865326,0.9053113582695743,-0.011270500255121996,CEPVR;RMDL;RMDR,RMEV,80,2022-07-26-01,2023-01-23-21,RIH,False,False,True,False
0.354906341339;0.490128020128;0.264297467462,0.5331013930205104,0.42762158417285395,0.7973988604823069,0.3072708403542634,0,RID,0.919307485709;0.928488868732;0.840459062662,0.10770929402701257,0.052083217654572356,0.9481683566890111,0.019679487956667407,URXL;URXR;SMDVL,RID,81,2022-07-26-01,2023-01-23-21,CEPDR,False,False,True,False
0.340157872799;0.819892231713;0.226330878697,0.6079899124791099,0.3721937967734048,0.8343207911765969,0.014428559463976365,0,AIBL,0.946410399136;0.871417568018;0.870181057073,0.09677430903595441,0.07095235803338684,0.9669553661088576,0.02054496697312369,ASHL;AVEL;RMDL,AIBL,96,2022-07-26-01,2023-01-23-21,RIML,False,False,True,False
-0.122892334936;-0.0146780948358;-0.686345552379,1.3999042863307016,0.9881973946685065,0.7135587339513686,0.7282368287871567,0,NSMR,0.97452126262;0.960960106786;0.964193024897,0.021169230821289742,0.015571206172851793,0.9821293376070368,0.007608074986931279,M3L;M3R;I3,NSMR,100,2022-07-26-01,2023-01-23-21,I2R,False,False,True,False
-0.639899981096;0.610354617328;0.14088063324,1.153919296159708,0.47690755857321954,0.5140193150640648,-0.09633530226437104,0,MI,0.986262935943;0.980166246471;0.965265895966,0.02138652176665279,0.009420724939122493,0.9866524177327421,0.0003894817893513869,I3;M4;IL2DL,MI,106,2022-07-26-01,2023-01-23-21,I3,True,False,False,False
0.0752372015459;-0.240561632626;0.415829000087,0.6411877141198641,0.31712455849132304,0.4006260814937417,-0.015202918593751835,0,AUAL,0.952358997901;0.940898867099;0.943737661394,0.02636264338557659,0.021596335019651414,0.9672615104841569,0.014902512583093275,AVDL;AIBL;RMDDL,AUAL,107,2022-07-26-01,2023-01-23-21,RICL,False,False,False,False
0.474333270766;0.536135940679;-0.0618126042755,0.4141877480640267,-0.19427067644113,0.12194819261542934,-0.4141877480640267,0,OLQDL,0.907431036561;0.918344803238;0.940503175992,0.044973010858864404,0.03031104215656577,0.9524040474199931,0.011900871428398352,IL1DL;URYDL;OLQDR,OLQDL,119,2022-07-26-01,2023-01-23-21,RMED,False,False,False,False
0.415045515049;-0.227231872616;0.353302876922,0.6106075679881959,0.2030035222538156,0.3833756953719548,-0.03166981967666305,0,AINL,0.974145776889;0.955668893051;0.866314829639,0.11154675710155848,0.04581842021414839,0.9778615867404696,0.003715809851744911,AVDL;AUAL;ASGL,AINL,120,2022-07-26-01,2023-01-23-21,M5,False,False,False,False
