candidate_identity,mode,query_identity,similarity
ASEL,Activity,URYDR,-0.14848046465147988
ASGL,Activity,URYDR,0.7159391329350847
ASGR,Activity,URYDR,0.6994445832060474
ASHL,Activity,URYDR,0.6569914909903667
AVJR,Activity,URYDR,0.6887536437908001
AWAR,Activity,URYDR,0.5281831020138291
AWBL,Activity,URYDR,0.28979368863254595
AWBR,Activity,URYDR,0.6731791644950411
AWCL,Activity,URYDR,-0.42334422403015753
IL1DR,Activity,URYDR,0.08143191003584765
IL2DL,Activity,URYDR,-0.5459956893959177
IL2L,Activity,URYDR,-0.2328318193991152
OLLL,Activity,URYDR,0.48124271676454605
OLLR,Activity,URYDR,0.4218176889838115
RIBL,Activity,URYDR,-0.7023224871167062
URADL,Activity,URYDR,-0.33216031217488934
URBR,Activity,URYDR,0.18565181173164141
URYDR,Activity,URYDR,0.7484914184904207
AIBL,Activity,AWCL,-0.24575918212425069
ASEL,Activity,AWCL,0.4992635937746955
ASGL,Activity,AWCL,-0.15372928388161533
ASGR,Activity,AWCL,-0.14446565592454358
ASHL,Activity,AWCL,-0.32699327203157064
AVJR,Activity,AWCL,-0.2902762705710298
AWAR,Activity,AWCL,-0.032893290310775265
AWBL,Activity,AWCL,-0.46177753680109496
AWBR,Activity,AWCL,-0.27583335643711093
AWCL,Activity,AWCL,0.35414806047702835
IL1DR,Activity,AWCL,-0.501937714580179
IL2DL,Activity,AWCL,0.5755654916816445
IL2L,Activity,AWCL,0.2568457338400619
OLLL,Activity,AWCL,-0.5998003411886587
OLLR,Activity,AWCL,-0.6326737478044834
RIBL,Activity,AWCL,0.1596483286980182
URADL,Activity,AWCL,0.5581819258070145
URBR,Activity,AWCL,-0.5535324529761414
URYDR,Activity,AWCL,-0.48714327556447395
AIBL,Activity,AWBL,-0.11690604228337427
ASEL,Activity,AWBL,0.056602209427336916
ASGL,Activity,AWBL,-0.07778434333084032
ASGR,Activity,AWBL,-0.06486042657711716
ASHL,Activity,AWBL,0.0196380128733517
AVJR,Activity,AWBL,0.03677451346201377
AWAR,Activity,AWBL,-0.10168808841342043
AWBL,Activity,AWBL,0.29279256218631866
AWBR,Activity,AWBL,0.007371326436874125
AWCL,Activity,AWBL,0.19353420091459678
IL1DR,Activity,AWBL,0.3781584743700101
IL2DL,Activity,AWBL,-0.10328837370440055
IL2L,Activity,AWBL,0.2222032518015697
OLLL,Activity,AWBL,0.1722192039798622
OLLR,Activity,AWBL,0.2164001175544784
RIBL,Activity,AWBL,0.18329613135397785
URADL,Activity,AWBL,-0.10992702849201841
URBR,Activity,AWBL,0.26410198382266054
URYDR,Activity,AWBL,-0.02175725982678913
AIBL,Activity,ASGR,0.7517922517261715
ASEL,Activity,ASGR,-0.15124723845086496
ASGL,Activity,ASGR,0.7371235114774453
ASGR,Activity,ASGR,0.7399732395134645
ASHL,Activity,ASGR,0.6497115756519052
AVJR,Activity,ASGR,0.6489056462752253
AWAR,Activity,ASGR,0.5374254587324375
AWBL,Activity,ASGR,0.2128236139683002
AWBR,Activity,ASGR,0.646641633231198
AWCL,Activity,ASGR,-0.4196006670830013
IL1DR,Activity,ASGR,-0.030105426423661857
IL2DL,Activity,ASGR,-0.48748521653646165
IL2L,Activity,ASGR,-0.272425565894746
OLLL,Activity,ASGR,0.3677255978486252
OLLR,Activity,ASGR,0.3284446333359728
RIBL,Activity,ASGR,-0.7419163007643771
URADL,Activity,ASGR,-0.2986286623245306
URBR,Activity,ASGR,0.03332839150543657
URYDR,Activity,ASGR,0.7143043167614118
AIBL,Activity,ASHL,0.6774449368397035
ASEL,Activity,ASHL,-0.3056259610219801
ASGL,Activity,ASHL,0.6256608917162585
ASGR,Activity,ASHL,0.6184720564570709
ASHL,Activity,ASHL,0.7320387162678637
AVJR,Activity,ASHL,0.6398297681658403
AWAR,Activity,ASHL,0.5868095791129903
AWBL,Activity,ASHL,0.3047636482238999
AWBR,Activity,ASHL,0.6272127338264467
AWCL,Activity,ASHL,-0.5900554514887872
IL1DR,Activity,ASHL,0.10059981284051314
IL2DL,Activity,ASHL,-0.6574599622737389
