setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
neurid_calibrated,0.0,0,1,0.5814814814814815,0.5592592592592592,0.12962962962962962,,
neurid_calibrated,0.0,1,1,0.697986577181208,0.6912751677852349,0.040268456375838924,,
neurid_calibrated,0.0,2,1,0.6120401337792643,0.5953177257525084,0.07023411371237458,,
neurid_calibrated,0.0,3,1,0.6351351351351351,0.6351351351351351,0.04391891891891892,,
neurid_calibrated,0.0,4,1,0.6700680272108843,0.6564625850340136,0.05102040816326531,,
neurid_calibrated,0.1,0,3,0.5555555555555556,0.5358024691358024,0.15308641975308643,0.32275132275132273,0.5954797972009039
neurid_calibrated,0.1,1,3,0.674496644295302,0.6677852348993288,0.0436241610738255,0.42328042328042326,0.8593975468975469
neurid_calibrated,0.1,2,3,0.6020066889632107,0.5863991081382386,0.08918617614269787,0.3060428849902534,0.6609229138640903
neurid_calibrated,0.1,3,3,0.6441441441441441,0.6385135135135135,0.04054054054054054,0.6741996233521657,0.9086273937979975
neurid_calibrated,0.1,4,3,0.6609977324263038,0.6530612244897959,0.054421768707483,0.4590476190476191,0.8331955547429674
neurid_calibrated,0.2,0,3,0.5308641975308642,0.5148148148148147,0.1617283950617284,0.3306808134394342,0.7395713403536689
neurid_calibrated,0.2,1,3,0.6633109619686801,0.6577181208053692,0.05145413870246085,0.4531933508311461,0.9184777887177112
neurid_calibrated,0.2,2,3,0.5897435897435898,0.5741360089186176,0.09364548494983277,0.3440860215053763,0.8074417883429463
neurid_calibrated,0.2,3,3,0.6509009009009009,0.6306306306306307,0.07432432432432433,0.6413857677902622,0.912212734556188
neurid_calibrated,0.2,4,3,0.6485260770975056,0.6428571428571429,0.06235827664399093,0.38984674329501917,0.8808452010694604
neurid_calibrated,0.3,0,3,0.5012345679012346,0.4777777777777778,0.18888888888888888,0.40294985250737464,0.8170112187489597
neurid_calibrated,0.3,1,3,0.6342281879194631,0.6241610738255035,0.06152125279642059,0.4658421672555948,0.9349176780705909
neurid_calibrated,0.3,2,3,0.5652173913043478,0.544035674470457,0.09698996655518394,0.34776902887139105,0.8593314442371046
neurid_calibrated,0.3,3,3,0.6227477477477478,0.606981981981982,0.0867117117117117,0.6354556803995006,0.9296064109665862
neurid_calibrated,0.3,4,3,0.6247165532879819,0.6145124716553289,0.07142857142857144,0.39399744572158363,0.9074350354708635
neurid_calibrated,0.4,0,3,0.5012345679012346,0.4753086419753087,0.19876543209876543,0.4279398762157383,0.8573767223688068
neurid_calibrated,0.4,1,3,0.616331096196868,0.6029082774049217,0.06711409395973154,0.499780412823891,0.9496779218005398
neurid_calibrated,0.4,2,3,0.5696767001114827,0.5473801560758083,0.11594202898550725,0.3735294117647059,0.8801002185018195
