raw_schema_version,fold,severity,perturbation_seed,setting,recordings,false_reject_budget,known_queries,synthetic_unknown_queries,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision,execution_device,checkpoint,corruption_root
2,0,0.1,2,no_dustbin_confidence,19,0.05,270,189,0.4777777777777778,0.4703703703703704,0.1259259259259259,0.582010582010582,0.7638888888888888,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2
2,0,0.1,2,no_dustbin_forced,19,0.05,270,189,0.4777777777777778,0.4777777777777778,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.10_p2
2,0,0.2,0,neurid_original,19,0.05,270,377,0.5222222222222223,0.45925925925925926,0.37777777777777777,0.946949602122016,0.7777777777777778,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p0
2,0,0.2,0,neurid_calibrated,19,0.05,270,377,0.5222222222222223,0.5074074074074074,0.16296296296296298,0.3183023872679045,0.7317073170731707,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p0
2,0,0.2,0,no_dustbin_confidence,19,0.05,270,377,0.4444444444444444,0.43333333333333335,0.08888888888888889,0.636604774535809,0.9090909090909091,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p0
2,0,0.2,0,no_dustbin_forced,19,0.05,270,377,0.4444444444444444,0.4444444444444444,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p0
2,0,0.2,1,neurid_original,19,0.05,270,377,0.5333333333333333,0.46296296296296297,0.4,0.9283819628647215,0.7641921397379913,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p1
2,0,0.2,1,neurid_calibrated,19,0.05,270,377,0.5333333333333333,0.5185185185185185,0.16296296296296298,0.3050397877984085,0.7232704402515723,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p1
2,0,0.2,1,no_dustbin_confidence,19,0.05,270,377,0.45555555555555555,0.44814814814814813,0.09259259259259259,0.6074270557029178,0.9015748031496063,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p1
2,0,0.2,1,no_dustbin_forced,19,0.05,270,377,0.45555555555555555,0.45555555555555555,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.20_p1
