identity,n_animal_pairs,same_similarity,hard_similarity,specificity_margin,median_specificity_margin
ADAL,756,0.5804227968614868,0.3755923518649531,0.20483044499653377,0.225883374902156
ADAR,20,0.5803871269439155,0.3935769864767617,0.18681014046715375,0.16441338069948302
ADEL,930,0.5168722167029649,0.48440681700416444,0.03246539969880049,0.041407382340141574
ADER,240,0.502999248229052,0.47464349634857184,0.02835575188048015,0.0236355031007974
ADLL,342,0.5221304438177979,0.4026490504942743,0.11948139332352366,0.1234524466501449
ADLR,42,0.4922574791397449,0.4437163917423787,0.04854108739736619,0.038187430368187586
AIA?,42,0.47259306583295657,0.4333523903835624,0.03924067544939417,0.06271456738223416
AIAL,2,0.634839994430137,0.4632451822541103,0.17159481217602662,0.17159481217602662
AIAR,6,0.6069152806383021,0.4243576750176552,0.1825576056206469,0.15783900214346946
AIBL,1122,0.7272068288217718,0.45638606871042775,0.27082076011134415,0.28032989683288345
AIBR,1056,0.762090376526522,0.5319893682692133,0.23010100825730875,0.22385625372379528
AIM?,72,0.5908257757432275,0.49210749416060273,0.09871828158262483,0.11096115620263508
AIML,210,0.5397397871993669,0.4818034362128169,0.05793635098654997,0.08025338901023235
AIMR,210,0.5755463448533344,0.5041540175945411,0.07139232725879326,0.08913674725876644
AINL,756,0.47424176185386363,0.4415435336110975,0.03269822824276618,0.03391258919733356
AINR,210,0.5299679961396042,0.4344448805249817,0.09552311561462261,0.08805018022600614
AIY?,306,0.5586753113880066,0.46866162319187216,0.09001368819613452,0.08038998444105289
AIYL,90,0.6127743143045609,0.49506236338008197,0.11771195092447881,0.15526308079265974
AIYR,90,0.7312718777447349,0.5269555765274423,0.2043163012172926,0.191255156865749
AIZL,992,0.4695257511382895,0.46281781736223415,0.0067079337760552965,0.007858380370302231
AIZR,702,0.49828094875559364,0.42555396121076405,0.07272698754482955,0.06553297119023943
ALA,20,0.48656142535016045,0.4960759367114698,-0.00951451136130924,-0.014316879475033462
AQR,240,0.6071034145201576,0.5163887458091917,0.09071466871096591,0.11189397288082611
ASEL,930,0.5295721266169481,0.45622269772519997,0.07334942889174813,0.07199317312125139
ASER,306,0.4784783740808234,0.43903851540915184,0.039439858671671546,0.0451835030499127
ASGL,930,0.7222974360946199,0.43948943465608614,0.28280800143853385,0.27875441839249415
ASGR,462,0.7394188858479439,0.49934995480583116,0.24006893104211266,0.25292754439928733
ASHL,306,0.5970378712722678,0.4622536834573803,0.13478418781488755,0.17391755998521402
ASHR,6,0.697619308214541,0.47264217799512614,0.2249771302194149,0.23904995195169576
ASIL,56,0.4829943051404254,0.436287338993513,0.046706966146912374,0.03005015294296534
ASIR,56,0.5038216787120674,0.36560874260754667,0.13821293610452076,0.1292439707827614
ASJL,6,0.3705711445490569,0.4818827245445924,-0.1113115799955356,-0.12163718192903722
ASKL,12,0.4534558643929602,0.2906950782108984,0.16276078618206177,0.2171981236206412
ASKR,12,0.39635083110810804,0.3729252639066811,0.02342556720142686,0.05695926212358263
AUAL,992,0.5948111789985796,0.41797536704741584,0.17683581195116385,0.18279059214556903
AUAR,210,0.5561798928061398,0.4017635051933717,0.15441638761276813,0.16905840110311102
AVAL,1122,0.7458848450405868,0.4972077131434506,0.24867713189713628,0.23190156243161944
AVAR,756,0.7245487823982991,0.5422437210331122,0.18230506136518676,0.18406503421111658
AVBL,42,0.7360581596924083,0.5152250622391288,0.22083309745327973,0.20478069361451157
AVBR,6,0.6965272074822887,0.44779112528622683,0.2487360821960619,0.24128197227472462
AVDL,1190,0.629004914673466,0.4646611411449519,0.1643437735285141,0.1615254104593674
AVDR,552,0.568602976894832,0.40078615957817126,0.16781681731666073,0.17608187978845374
AVEL,812,0.7701340761260638,0.5850841976728826,0.18504987845318124,0.18368752671499836
AVER,870,0.7557343426525862,0.5788229647080303,0.17691137794455608,0.15704285218142622
AVHL,240,0.6538695875760235,0.43167888080891975,0.2221907067671038,0.23075789802848867
AVJL,992,0.5344358147893613,0.46549005944251687,0.06894575534684438,0.07271730876989416
AVJR,930,0.45879344088005525,0.3983429246093522,0.060450516270702984,0.06851961415852562
AVK?,56,0.5259487572379679,0.40920661370542055,0.11674214353254728,0.14423591045566403
AVKL,6,0.587394361811445,0.42424486476662837,0.1631494970448166,0.12950744693931526
AVKR,30,0.5125068396705116,0.43929750256464994,0.07320933710586165,0.06752088589917754
AVL,342,0.40884667949319115,0.31570992237760664,0.09313675711558445,0.04740470910941516
AWAL,506,0.5457498922329761,0.4809771949420973,0.06477269729087885,0.06945758841707772
AWAR,506,0.5291347889986646,0.47472452094792494,0.05441026805073961,0.04451641253783878
AWBL,1122,0.5506237366452625,0.4434481480176803,0.10717558862758222,0.1135763783576561
AWBR,342,0.5135432522463792,0.46126542106525575,0.05227783118112326,0.05313184090326295
AWCL,1056,0.4449535173853756,0.4068579014794175,0.038095615905958044,0.03197818875586275
AWCR,342,0.48828904356237507,0.45207811555151317,0.03621092801086194,0.05044425526919441
BAGL,272,0.6051257333896299,0.37304903719093613,0.23207669619869384,0.2372734926140643
BAGR,6,0.7530495302756471,0.43771565331363643,0.3153338769620106,0.28367637087891245
CEPDL,1406,0.5914250748219722,0.4660719749121425,0.12535309990982976,0.12060661237481562
CEPDR,992,0.6124342301802486,0.480314830383677,0.13211939979657147,0.12701388200047223
CEPVL,1056,0.486545380714521,0.4013206320130356,0.08522474870148547,0.09652395198226513
CEPVR,756,0.4876534217951404,0.40004462298262256,0.08760879881251787,0.08770128873531316
FLPL,1056,0.6599042997731663,0.517071657947706,0.1428326418254602,0.15350739530861326
FLPR,210,0.632007146572361,0.45181621769125063,0.18019092888111043,0.1830929906503078
I1L,1122,0.7265299224922237,0.5947457776738322,0.13178414481839143,0.13029963962838637
I1R,812,0.7228419428746194,0.590748391089929,0.1320935517846905,0.1406815741574448
I2L,1332,0.5787329409789421,0.4907800331663551,0.08795290781258691,0.09621041353857637
I2R,870,0.6134799823124583,0.5103180940400844,0.10316188827237387,0.10372651017700624
I3,1332,0.6825889032854536,0.2866624358760846,0.395926467409369,0.40587683345919756
I4,72,0.7173967474767186,0.47047646473626653,0.24692028274045205,0.2498694076637562
I5,6,0.6143813977094833,0.5370952589821216,0.0772861387273616,0.037189811247464066
I6,132,0.49796449126932907,0.48021648877766593,0.017748002491663157,0.04585717296016087
IL1DL,756,0.6375852403897287,0.5542540660966888,0.08333117429303989,0.09645129693811624
IL1DR,1056,0.6754220121928193,0.5451028561794663,0.1303191560133529,0.12376279620169217
IL1L,992,0.6632773178030582,0.5172590966272137,0.14601822117584443,0.1442568009254127
IL1R,930,0.708371607261111,0.4936305555999808,0.21474105166113033,0.2062279482659266
IL1V?,12,0.6853724208041062,0.43966624333783394,0.2457061774662723,0.25206992461261757
IL1VL,306,0.6012703327492167,0.45641702913289306,0.14485330361632368,0.1522929670775066
IL1VR,506,0.6029828468411824,0.4412319491339664,0.1617508977072161,0.16248872474618534
IL2DL,1260,0.6570776926195809,0.4999652297904807,0.15711246282910035,0.16885129520498698
IL2DR,756,0.6320446248813538,0.5094791102371108,0.12256551464424305,0.13889629421884905
IL2L,756,0.6074791166201606,0.517793694965308,0.08968542165485259,0.08700052581895062
IL2R,552,0.6099943522499054,0.5003181331376699,0.10967621911223548,0.12364755249331708
IL2VL,702,0.6237079507282407,0.5347868813967048,0.08892106933153587,0.09420919549917506
IL2VR,812,0.5647227323549848,0.5103711173509292,0.054351615004055505,0.048313876824687206
M1,342,0.624227841767022,0.43060692296184655,0.19362091880517535,0.21331698504963292
M3L,1406,0.6475152024508474,0.5507266509383325,0.09678855151251496,0.09280489915133028
M3R,1190,0.6434240850259922,0.5228639107012538,0.12056017432473835,0.12539815071118138
M4,756,0.628430452542373,0.4677764610736124,0.16065399146876047,0.17253168791827095
M5,506,0.49782250177704557,0.48367242022391865,0.014150081553126824,0.02663762090963262
MCL,702,0.7314342878350498,0.5901112198421843,0.1413230679928656,0.13573557657715174
MCR,132,0.6823677366375601,0.5898348715007982,0.09253286513676191,0.07844890873597385
MI,812,0.678451439581226,0.49704738781097896,0.181404051770247,0.19435412392643286
NSML,1190,0.7291901071281607,0.5660487794746066,0.16314132765355413,0.16488956289545537
NSMR,1122,0.7255119288435573,0.5452970107864127,0.1802149180571445,0.16718203175324475
OLLL,1056,0.647309000310356,0.5373577683470232,0.10995123196333284,0.10742110175794573
OLLR,1056,0.6540864101046567,0.5416747611137788,0.11241164899087791,0.11568244462344479
OLQDL,1260,0.665005324567477,0.5535451412491917,0.11146018331828528,0.11008691531040521
OLQDR,1190,0.6484736398541685,0.5665944193780205,0.08187922047614796,0.07785556866765236
OLQVL,992,0.6528655942704162,0.4998843928847592,0.15298120138565702,0.15215024603939803
OLQVR,702,0.625461312399564,0.46507681631631476,0.16038449608324915,0.14380907989849545
RIAL,600,0.463962847522403,0.42389873657603533,0.040064110946367755,0.038508389227868645
RIAR,210,0.4643177141817136,0.4396905134129904,0.02462720076872308,0.02908964629531094
