mode,group,mean,ci_low,ci_high,n_animal_pairs
Geometry,Same,0.8638210111479141,0.8547514534803833,0.8725087474846769,1406
Geometry,Hard,0.8398021339816663,0.8312481618595611,0.8481481584527314,1406
Geometry,Random,0.1933162606557754,0.18785655714680244,0.19862382775159595,1406
Activity,Same,0.36026872989020636,0.3562801282523877,0.3643183444679153,1406
Activity,Hard,0.10545906224340866,0.10294874852423316,0.10795366284462901,1406
Activity,Random,0.015776281884124856,0.0134193669766878,0.01821499170506764,1406
Multimodal,Same,0.6120448705190602,0.6074740807059646,0.6165426563922703,1406
Multimodal,Hard,0.4726305981125374,0.4683872384072224,0.4767973689043333,1406
Multimodal,Random,0.10454627126995013,0.10158299433020489,0.10743313622464512,1406
