identity,n_animal_pairs,same_similarity,hard_similarity,specificity_margin,median_specificity_margin,n_test_queries,mprt_top1
ADAL,756,0.5804227968614868,0.3755923518649531,0.20483044499653377,0.225883374902156,84,0.6904761904761905
ADAR,20,0.5803871269439155,0.3935769864767617,0.18681014046715375,0.16441338069948302,15,0.2666666666666666
ADEL,930,0.5168722167029649,0.48440681700416444,0.03246539969880049,0.041407382340141574,93,0.6451612903225806
ADER,240,0.502999248229052,0.47464349634857184,0.02835575188048015,0.0236355031007974,48,0.5208333333333334
ADLL,342,0.5221304438177979,0.4026490504942743,0.11948139332352366,0.1234524466501449,57,0.7192982456140351
ADLR,42,0.4922574791397449,0.4437163917423787,0.04854108739736619,0.038187430368187586,21,0.5238095238095238
AIAL,2,0.634839994430137,0.4632451822541103,0.17159481217602662,0.17159481217602662,6,0.0
AIAR,6,0.6069152806383021,0.4243576750176552,0.1825576056206469,0.15783900214346946,9,0.0
AIBL,1122,0.7272068288217718,0.45638606871042775,0.27082076011134415,0.28032989683288345,102,0.8333333333333334
AIBR,1056,0.762090376526522,0.5319893682692133,0.23010100825730875,0.22385625372379528,99,0.8484848484848485
AIML,210,0.5397397871993669,0.4818034362128169,0.05793635098654997,0.08025338901023235,45,0.4888888888888889
AIMR,210,0.5755463448533344,0.5041540175945411,0.07139232725879326,0.08913674725876644,45,0.2888888888888888
AINL,756,0.47424176185386363,0.4415435336110975,0.03269822824276618,0.03391258919733356,84,0.7738095238095238
AINR,210,0.5299679961396042,0.4344448805249817,0.09552311561462261,0.08805018022600614,45,0.5777777777777777
AIYL,90,0.6127743143045609,0.49506236338008197,0.11771195092447881,0.15526308079265974,30,0.5666666666666667
AIYR,90,0.7312718777447349,0.5269555765274423,0.2043163012172926,0.191255156865749,30,0.6
AIZL,992,0.4695257511382895,0.46281781736223415,0.0067079337760552965,0.007858380370302231,96,0.6458333333333334
AIZR,702,0.49828094875559364,0.42555396121076405,0.07272698754482955,0.06553297119023943,81,0.6419753086419753
ALA,20,0.48656142535016045,0.4960759367114698,-0.00951451136130924,-0.014316879475033462,15,0.7333333333333333
AQR,240,0.6071034145201576,0.5163887458091917,0.09071466871096591,0.11189397288082611,48,0.7083333333333334
ASEL,930,0.5295721266169481,0.45622269772519997,0.07334942889174813,0.07199317312125139,93,0.6989247311827957
ASER,306,0.4784783740808234,0.43903851540915184,0.039439858671671546,0.0451835030499127,54,0.5185185185185185
ASGL,930,0.7222974360946199,0.43948943465608614,0.28280800143853385,0.27875441839249415,93,0.7849462365591398
ASGR,462,0.7394188858479439,0.49934995480583116,0.24006893104211266,0.25292754439928733,66,0.8181818181818182
ASHL,306,0.5970378712722678,0.4622536834573803,0.13478418781488755,0.17391755998521402,54,0.7222222222222222
ASHR,6,0.697619308214541,0.47264217799512614,0.2249771302194149,0.23904995195169576,9,0.0
ASIL,56,0.4829943051404254,0.436287338993513,0.046706966146912374,0.03005015294296534,24,0.7083333333333334
ASIR,56,0.5038216787120674,0.36560874260754667,0.13821293610452076,0.1292439707827614,24,0.375
ASJL,6,0.3705711445490569,0.4818827245445924,-0.1113115799955356,-0.12163718192903722,9,0.0
ASKL,12,0.4534558643929602,0.2906950782108984,0.16276078618206177,0.2171981236206412,12,0.0
ASKR,12,0.39635083110810804,0.3729252639066811,0.02342556720142686,0.05695926212358263,12,0.0
AUAL,992,0.5948111789985796,0.41797536704741584,0.17683581195116385,0.18279059214556903,96,0.7083333333333334
AUAR,210,0.5561798928061398,0.4017635051933717,0.15441638761276813,0.16905840110311102,45,0.5333333333333333
AVAL,1122,0.7458848450405868,0.4972077131434506,0.24867713189713628,0.23190156243161944,102,0.9607843137254902
AVAR,756,0.7245487823982991,0.5422437210331122,0.18230506136518676,0.18406503421111658,84,0.9761904761904762
AVBL,42,0.7360581596924083,0.5152250622391288,0.22083309745327973,0.20478069361451157,21,0.5714285714285714
AVBR,6,0.6965272074822887,0.44779112528622683,0.2487360821960619,0.24128197227472462,9,0.4444444444444444
AVDL,1190,0.629004914673466,0.4646611411449519,0.1643437735285141,0.1615254104593674,105,0.7333333333333333
AVDR,552,0.568602976894832,0.40078615957817126,0.16781681731666073,0.17608187978845374,72,0.5416666666666666
AVEL,812,0.7701340761260638,0.5850841976728826,0.18504987845318124,0.18368752671499836,87,0.9310344827586208
AVER,870,0.7557343426525862,0.5788229647080303,0.17691137794455608,0.15704285218142622,90,0.9222222222222224
AVHL,240,0.6538695875760235,0.43167888080891975,0.2221907067671038,0.23075789802848867,48,0.875
AVJL,992,0.5344358147893613,0.46549005944251687,0.06894575534684438,0.07271730876989416,96,0.5625
AVJR,930,0.45879344088005525,0.3983429246093522,0.060450516270702984,0.06851961415852562,93,0.5591397849462365
AVKL,6,0.587394361811445,0.42424486476662837,0.1631494970448166,0.12950744693931526,9,0.2222222222222222
AVKR,30,0.5125068396705116,0.43929750256464994,0.07320933710586165,0.06752088589917754,18,0.2777777777777778
AVL,342,0.40884667949319115,0.31570992237760664,0.09313675711558445,0.04740470910941516,57,0.2807017543859649
