dataset,atlas_relation_handling,fold_seed_cells,folds,seeds,covered_only_top1_mean,covered_only_top1_sd,covered_only_top5_mean,covered_only_top5_sd,covered_only_mrr_mean,covered_only_mrr_sd
atanas,zero_fill,5,5,1,0.749153076086016,0.08261294347170899,0.9033468190779947,0.05692200056479901,0.818551169948839,0.06870339656834126
atanas,mask_missing,5,5,1,0.7365012567472958,0.08745769352717397,0.9011226682044591,0.057526292475263655,0.8105401667695677,0.07056291818263048
rld,zero_fill,5,5,1,0.6393422709575947,0.04608200406589755,0.7981260689378994,0.05009655130444616,0.7137175952761949,0.04382408232701934
rld,mask_missing,5,5,1,0.602154546595332,0.05435592584169562,0.7893558893623507,0.04911510711358281,0.6899979688485579,0.04746719172044525
