method,N,M,status,scores_ready_mean_ms,scores_ready_sd_ms,scores_ready_median_ms,scores_ready_p95_ms,assignment_ready_mean_ms,assignment_ready_sd_ms,assignment_ready_median_ms,assignment_ready_p95_ms,hungarian_only_median_ms,hungarian_only_p95_ms,peak_allocated_total_mb,peak_reserved_total_mb,peak_allocated_increment_mb,peak_reserved_increment_mb
fDNC,32,124,OK,1.5372836589813232,0.020787694318737462,1.5382389537990093,1.568046654574573,1.5812062192708254,0.03532036844808151,1.577379647642374,1.6184355830773711,0.014363089576363564,0.016229506582021713,26.7255859375,38.0,2.75830078125,2.0
fDNC,64,124,OK,1.538342097774148,0.10518440151124908,1.5238553751260042,1.595356548205018,1.543412497267127,0.022047090417968058,1.5456420369446278,1.5739069087430835,0.029052142053842545,0.032185064628720284,28.00048828125,38.0,4.033203125,2.0
fDNC,128,124,OK,1.5116771822795272,0.02061443858380855,1.515805022791028,1.5367881627753377,1.844903165474534,0.1490030897385617,1.7837805207818747,2.204235875979066,0.20688329823315144,0.2149339998140931,28.45947265625,40.0,4.4921875,4.0
fDNC,256,124,OK,1.661447323858738,0.023887344277736422,1.655923668295145,1.704141846857965,1.943783899769187,0.011094909639438185,1.9441514741629362,1.9625893794000149,0.2520405687391758,0.2558581531047821,30.771484375,40.0,6.80419921875,4.0
fDNC,512,124,OK,2.046152502298355,0.034349390663892226,2.0348913967609406,2.14014386292547,2.536462931893766,0.009450471075952064,2.537518972530961,2.5497282622382045,0.46041887253522873,0.47022774815559387,35.3955078125,42.0,11.42822265625,6.0
fDNC,1024,124,OK,3.627649820409715,0.02473702880095832,3.62383178435266,3.6674554692581296,4.644889407791197,0.10220266004096085,4.607685375958681,4.895680979825556,0.8964750450104475,0.9116163244470954,44.6435546875,62.0,20.67626953125,26.0
GeoTransformer,32,124,OK,21.253218143247068,0.8030878342514943,21.169997984543443,22.480364330112934,21.234588157385588,0.49791247631334784,21.100704791024327,21.836924413219094,0.016812235116958618,0.018648337572813034,57.8447265625,66.0,29.830078125,24.0
GeoTransformer,64,124,OK,21.157021983526647,0.7669059634497374,20.91501117683947,22.043922706507146,21.294353380799294,0.5844987319728897,21.170244086533785,22.053084452636536,0.03650248982012272,0.03888756036758423,58.15576171875,84.0,30.14111328125,42.0
GeoTransformer,128,124,OK,21.365382354706526,0.21138111484825173,21.35011227801442,21.72422339208424,21.98870208580047,0.916572500790813,21.756902802735567,23.969232477247715,0.10572443716228008,0.11022305116057396,60.70361328125,74.0,32.68896484375,32.0
GeoTransformer,256,124,OK,21.765023190528154,0.46247869851462997,21.676685428246856,22.410829248838127,21.74292433075607,0.2205371162447424,21.72521874308586,22.160742222331464,0.20711170509457588,0.21552271209657192,61.8154296875,94.0,33.80078125,52.0
GeoTransformer,512,124,OK,21.951602641493082,0.20313870736314382,21.93300938233733,22.26538471877575,22.19785592518747,0.37866104733416567,22.2201244905591,22.79523683246225,0.3652959130704403,0.3752137999981642,64.6953125,78.0,36.6806640625,36.0
GeoTransformer,1024,124,OK,23.641570475883782,0.5155058107735097,23.55468040332198,24.046308104880154,24.616484655998647,1.5037856255580488,24.24191706813872,26.71528677456081,0.6625864189118147,0.6719819735735655,63.16455078125,78.0,35.14990234375,36.0
