dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
rld,0,42,15s,15,3,19,270,0.2716049382716049,0.022222222222222227,0.16049382716049382,0.30370370370370375,0.24779715143555595,0.12716049382716046
rld,0,42,30s,30,3,19,270,0.24197530864197528,0.0111111111111111,0.17901234567901234,0.3617283950617283,0.2743409939159193,0.13703703703703704
rld,0,42,60s,60,3,19,270,0.2814814814814815,0.05185185185185184,0.20370370370370372,0.38395061728395063,0.2996158272056919,0.16419753086419753
rld,0,42,120s,120,3,19,270,0.3333333333333333,0.029629629629629645,0.20370370370370372,0.3814814814814815,0.29799779844050794,0.17037037037037037
rld,0,42,240s,240,3,19,270,0.37530864197530855,0.07407407407407407,0.26296296296296295,0.45925925925925926,0.36367834551004824,0.23580246913580247
rld,0,42,480s,480,3,19,270,0.5012345679012346,0.059259259259259234,0.4283950617283951,0.628395061728395,0.5262494268191725,0.4074074074074074
rld,0,42,900s,900,3,19,270,0.7135802469135804,0.033333333333333326,0.5308641975308642,0.7160493827160495,0.6189880932176177,0.5086419753086419
rld,0,42,full,,1,19,270,1.0,0.0,0.5814814814814815,0.7148148148148148,0.6530861910638435,0.5444444444444444
