dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
rld,2,42,15s,15,3,19,299,0.31995540691192864,0.01672240802675584,0.19955406911928653,0.4180602006688963,0.30700017062973156,0.1794871794871795
rld,2,42,30s,30,3,19,299,0.30323299888517274,0.020066889632107038,0.19286510590858416,0.4303232998885173,0.3106306895422584,0.1806020066889632
rld,2,42,60s,60,3,19,299,0.3010033444816054,0.06688963210702342,0.19955406911928653,0.42251950947603123,0.3073600533249015,0.17614269788182832
rld,2,42,120s,120,3,19,299,0.36231884057971014,0.06020066889632106,0.2474916387959866,0.516164994425864,0.37076588401084454,0.24080267558528426
rld,2,42,240s,240,3,19,299,0.39910813823857305,0.0802675585284281,0.3333333333333333,0.5875139353400223,0.4516916611019062,0.31995540691192864
rld,2,42,480s,480,3,19,299,0.5340022296544036,0.040133779264214076,0.483835005574136,0.7168338907469343,0.5892587993692514,0.4715719063545151
rld,2,42,900s,900,3,19,299,0.6989966555183945,0.04682274247491647,0.5841694537346712,0.7881828316610925,0.6787159094250974,0.5707915273132665
rld,2,42,full,,1,19,299,1.0,0.0,0.6120401337792643,0.7959866220735786,0.69291209261679,0.5953177257525084
