mode,n_identities,spearman_rho,spearman_p,rho_ci95_low,rho_ci95_high,mean_margin,median_margin,fraction_positive_margin
Geometry,150,0.14389931119571286,0.07894996631732494,-0.0337127643117212,0.305557541920264,0.021548075183465396,0.019456768910624186,0.98
Activity,150,0.3387161560296738,2.237985806419992e-05,0.17891613380969001,0.48790161272664007,0.24921698945282125,0.24129580385282143,0.9533333333333334
Multimodal,150,0.3417259543428347,1.8704289297850228e-05,0.1778905065545672,0.49334664369320574,0.13538253231814332,0.132106475790631,0.96
