identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
ADAL,0.5804227968614868,0.3755923518649531,0.20483044499653377,0.225883374902156,756,28,84,0.6904761904761905
ADAR,0.5803871269439155,0.3935769864767617,0.18681014046715375,0.16441338069948302,20,5,15,0.2666666666666666
ADEL,0.5168722167029649,0.48440681700416444,0.03246539969880049,0.041407382340141574,930,31,93,0.6451612903225806
ADER,0.502999248229052,0.47464349634857184,0.02835575188048015,0.0236355031007974,240,16,48,0.5208333333333334
ADLL,0.5221304438177979,0.4026490504942743,0.11948139332352366,0.1234524466501449,342,19,57,0.7192982456140351
ADLR,0.4922574791397449,0.4437163917423787,0.04854108739736619,0.038187430368187586,42,7,21,0.5238095238095238
AIAL,0.634839994430137,0.4632451822541103,0.17159481217602662,0.17159481217602662,2,2,6,0.0
AIAR,0.6069152806383021,0.4243576750176552,0.1825576056206469,0.15783900214346946,6,3,9,0.0
AIBL,0.7272068288217718,0.45638606871042775,0.27082076011134415,0.28032989683288345,1122,34,102,0.8333333333333334
AIBR,0.762090376526522,0.5319893682692133,0.23010100825730875,0.22385625372379528,1056,33,99,0.8484848484848485
AIML,0.5397397871993669,0.4818034362128169,0.05793635098654997,0.08025338901023235,210,15,45,0.4888888888888889
AIMR,0.5755463448533344,0.5041540175945411,0.07139232725879326,0.08913674725876644,210,15,45,0.2888888888888888
AINL,0.47424176185386363,0.4415435336110975,0.03269822824276618,0.03391258919733356,756,28,84,0.7738095238095238
AINR,0.5299679961396042,0.4344448805249817,0.09552311561462261,0.08805018022600614,210,15,45,0.5777777777777777
AIYL,0.6127743143045609,0.49506236338008197,0.11771195092447881,0.15526308079265974,90,10,30,0.5666666666666667
AIYR,0.7312718777447349,0.5269555765274423,0.2043163012172926,0.191255156865749,90,10,30,0.6
AIZL,0.4695257511382895,0.46281781736223415,0.0067079337760552965,0.007858380370302231,992,32,96,0.6458333333333334
AIZR,0.49828094875559364,0.42555396121076405,0.07272698754482955,0.06553297119023943,702,27,81,0.6419753086419753
ALA,0.48656142535016045,0.4960759367114698,-0.00951451136130924,-0.014316879475033462,20,5,15,0.7333333333333333
AQR,0.6071034145201576,0.5163887458091917,0.09071466871096591,0.11189397288082611,240,16,48,0.7083333333333334
ASEL,0.5295721266169481,0.45622269772519997,0.07334942889174813,0.07199317312125139,930,31,93,0.6989247311827957
ASER,0.4784783740808234,0.43903851540915184,0.039439858671671546,0.0451835030499127,306,18,54,0.5185185185185185
