dataset,fold,animal_id,method,n_eval,n_correct,n_shared,n_correct_shared
Kato,2,20240902-16-12-10,NeurID (single medoid),19,6,8,6
Kato,2,20240902-16-12-10,NuCLR,19,3,8,3
Kato,2,20240902-16-12-10,StatAtlas,19,0,8,0
Kato,2,20240902-16-12-10,Vanilla FGW,19,0,8,0
Kato,2,20240902-16-12-10,fDNC,19,3,8,3
Kato,2,20240902-18-51-10,CPD,21,0,10,0
Kato,2,20240902-18-51-10,CRF_ID,21,0,10,0
Kato,2,20240902-18-51-10,FUGW (G+A; official),21,3,10,3
Kato,2,20240902-18-51-10,GeoTransformer,21,5,10,5
Kato,2,20240902-18-51-10,NGM-v2,21,0,10,0
Kato,2,20240902-18-51-10,NeurID (population atlas),21,13,10,7
Kato,2,20240902-18-51-10,NeurID (single medoid),21,9,10,9
Kato,2,20240902-18-51-10,NuCLR,21,0,10,0
Kato,2,20240902-18-51-10,StatAtlas,21,0,10,0
Kato,2,20240902-18-51-10,Vanilla FGW,21,0,10,0
Kato,2,20240902-18-51-10,fDNC,21,2,10,2
Kato,2,20240902-20-11-40,CPD,24,1,9,1
Kato,2,20240902-20-11-40,CRF_ID,24,0,9,0
Kato,2,20240902-20-11-40,FUGW (G+A; official),24,3,9,3
Kato,2,20240902-20-11-40,GeoTransformer,24,3,9,3
Kato,2,20240902-20-11-40,NGM-v2,24,2,9,2
Kato,2,20240902-20-11-40,NeurID (population atlas),24,20,9,8
Kato,2,20240902-20-11-40,NeurID (single medoid),24,9,9,9
Kato,2,20240902-20-11-40,NuCLR,24,1,9,1
Kato,2,20240902-20-11-40,StatAtlas,24,0,9,0
Kato,2,20240902-20-11-40,Vanilla FGW,24,1,9,1
Kato,2,20240902-20-11-40,fDNC,24,4,9,4
Kato,2,20240917-20-18-26,CPD,22,0,8,0
Kato,2,20240917-20-18-26,CRF_ID,22,0,8,0
Kato,2,20240917-20-18-26,FUGW (G+A; official),22,0,8,0
Kato,2,20240917-20-18-26,GeoTransformer,22,0,8,0
Kato,2,20240917-20-18-26,NGM-v2,22,0,8,0
Kato,2,20240917-20-18-26,NeurID (population atlas),22,15,8,7
Kato,2,20240917-20-18-26,NeurID (single medoid),22,7,8,7
Kato,2,20240917-20-18-26,NuCLR,22,0,8,0
Kato,2,20240917-20-18-26,StatAtlas,22,0,8,0
Kato,2,20240917-20-18-26,Vanilla FGW,22,0,8,0
Kato,2,20240917-20-18-26,fDNC,22,2,8,2
Kato,2,20240917-22-37-14,CPD,20,0,11,0
Kato,2,20240917-22-37-14,CRF_ID,20,0,11,0
Kato,2,20240917-22-37-14,FUGW (G+A; official),20,1,11,1
Kato,2,20240917-22-37-14,GeoTransformer,20,3,11,3
Kato,2,20240917-22-37-14,NGM-v2,20,0,11,0
Kato,2,20240917-22-37-14,NeurID (population atlas),20,15,11,9
Kato,2,20240917-22-37-14,NeurID (single medoid),20,9,11,9
Kato,2,20240917-22-37-14,NuCLR,20,3,11,3
Kato,2,20240917-22-37-14,StatAtlas,20,0,11,0
Kato,2,20240917-22-37-14,Vanilla FGW,20,0,11,0
Kato,2,20240917-22-37-14,fDNC,20,4,11,4
Kato,3,20221106-21-47-31,CPD,32,5,6,5
Kato,3,20221106-21-47-31,CRF_ID,32,0,6,0
Kato,3,20221106-21-47-31,FUGW (G+A; official),32,3,6,3
Kato,3,20221106-21-47-31,GeoTransformer,32,4,6,4
Kato,3,20221106-21-47-31,NGM-v2,32,2,6,2
Kato,3,20221106-21-47-31,NeurID (population atlas),32,10,6,1
Kato,3,20221106-21-47-31,NeurID (single medoid),32,5,6,5
Kato,3,20221106-21-47-31,NuCLR,32,0,6,0
Kato,3,20221106-21-47-31,StatAtlas,32,0,6,0
Kato,3,20221106-21-47-31,Vanilla FGW,32,1,6,1
Kato,3,20221106-21-47-31,fDNC,32,3,6,3
Kato,3,20230412-20-15-17,CPD,23,0,6,0
Kato,3,20230412-20-15-17,CRF_ID,23,0,6,0
Kato,3,20230412-20-15-17,FUGW (G+A; official),23,1,6,1
Kato,3,20230412-20-15-17,GeoTransformer,23,2,6,2
Kato,3,20230412-20-15-17,NGM-v2,23,1,6,1
Kato,3,20230412-20-15-17,NeurID (population atlas),23,11,6,2
Kato,3,20230412-20-15-17,NeurID (single medoid),23,4,6,4
Kato,3,20230412-20-15-17,NuCLR,23,0,6,0
Kato,3,20230412-20-15-17,StatAtlas,23,0,6,0
Kato,3,20230412-20-15-17,Vanilla FGW,23,0,6,0
Kato,3,20230412-20-15-17,fDNC,23,3,6,3
Kato,3,20230502-20-05-02,CPD,1,0,0,0
Kato,3,20230502-20-05-02,CRF_ID,1,0,0,0
Kato,3,20230502-20-05-02,FUGW (G+A; official),1,0,0,0
Kato,3,20230502-20-05-02,GeoTransformer,1,0,0,0
Kato,3,20230502-20-05-02,NGM-v2,1,0,0,0
Kato,3,20230502-20-05-02,NeurID (population atlas),1,1,0,0
Kato,3,20230502-20-05-02,NeurID (single medoid),1,0,0,0
Kato,3,20230502-20-05-02,NuCLR,1,0,0,0
Kato,3,20230502-20-05-02,StatAtlas,1,0,0,0
Kato,3,20230502-20-05-02,Vanilla FGW,1,0,0,0
Kato,3,20230502-20-05-02,fDNC,1,0,0,0
Kato,3,20230506-15-01-45,CPD,31,6,6,6
Kato,3,20230506-15-01-45,CRF_ID,31,0,6,0
Kato,3,20230506-15-01-45,FUGW (G+A; official),31,3,6,3
Kato,3,20230506-15-01-45,GeoTransformer,31,4,6,4
Kato,3,20230506-15-01-45,NGM-v2,31,1,6,1
Kato,3,20230506-15-01-45,NeurID (population atlas),31,24,6,6
Kato,3,20230506-15-01-45,NeurID (single medoid),31,6,6,6
Kato,3,20230506-15-01-45,NuCLR,31,0,6,0
Kato,3,20230506-15-01-45,StatAtlas,31,1,6,0
Kato,3,20230506-15-01-45,Vanilla FGW,31,1,6,1
Kato,3,20230506-15-01-45,fDNC,31,5,6,5
Kato,3,20230510-13-25-46,CPD,32,5,6,5
Kato,3,20230510-13-25-46,CRF_ID,32,0,6,0
Kato,3,20230510-13-25-46,FUGW (G+A; official),32,3,6,3
Kato,3,20230510-13-25-46,GeoTransformer,32,2,6,2
Kato,3,20230510-13-25-46,NGM-v2,32,2,6,2
Kato,3,20230510-13-25-46,NeurID (population atlas),32,22,6,4
Kato,3,20230510-13-25-46,NeurID (single medoid),32,4,6,4
Kato,3,20230510-13-25-46,NuCLR,32,1,6,1
Kato,3,20230510-13-25-46,StatAtlas,32,1,6,0
Kato,3,20230510-13-25-46,Vanilla FGW,32,0,6,0
Kato,3,20230510-13-25-46,fDNC,32,6,6,6
Kato,3,20230510-15-49-47,CPD,28,1,5,1
Kato,3,20230510-15-49-47,CRF_ID,28,0,5,0
Kato,3,20230510-15-49-47,FUGW (G+A; official),28,0,5,0
Kato,3,20230510-15-49-47,GeoTransformer,28,1,5,1
Kato,3,20230510-15-49-47,NGM-v2,28,0,5,0
Kato,3,20230510-15-49-47,NeurID (population atlas),28,15,5,3
Kato,3,20230510-15-49-47,NeurID (single medoid),28,5,5,5
Kato,3,20230510-15-49-47,NuCLR,28,1,5,1
Kato,3,20230510-15-49-47,StatAtlas,28,0,5,0
Kato,3,20230510-15-49-47,Vanilla FGW,28,0,5,0
Kato,3,20230510-15-49-47,fDNC,28,2,5,2
Kato,3,20230604-15-10-44,CPD,2,0,0,0
Kato,3,20230604-15-10-44,CRF_ID,2,0,0,0
Kato,3,20230604-15-10-44,FUGW (G+A; official),2,0,0,0
Kato,3,20230604-15-10-44,GeoTransformer,2,0,0,0
Kato,3,20230604-15-10-44,NGM-v2,2,0,0,0
Kato,3,20230604-15-10-44,NeurID (population atlas),2,2,0,0
Kato,3,20230604-15-10-44,NeurID (single medoid),2,0,0,0
Kato,3,20230604-15-10-44,NuCLR,2,0,0,0
Kato,3,20230604-15-10-44,StatAtlas,2,0,0,0
Kato,3,20230604-15-10-44,Vanilla FGW,2,0,0,0
Kato,3,20230604-15-10-44,fDNC,2,0,0,0
Kato,3,20230903-15-10-21,CPD,7,5,5,5
Kato,3,20230903-15-10-21,CRF_ID,7,0,5,0
Kato,3,20230903-15-10-21,FUGW (G+A; official),7,3,5,3
Kato,3,20230903-15-10-21,GeoTransformer,7,2,5,2
Kato,3,20230903-15-10-21,NGM-v2,7,1,5,1
Kato,3,20230903-15-10-21,NeurID (population atlas),7,3,5,3
Kato,3,20230903-15-10-21,NeurID (single medoid),7,5,5,5
Kato,3,20230903-15-10-21,NuCLR,7,1,5,1
Kato,3,20230903-15-10-21,StatAtlas,7,0,5,0
Kato,3,20230903-15-10-21,Vanilla FGW,7,1,5,1
Kato,3,20230903-15-10-21,fDNC,7,4,5,4
Kato,3,20230903-18-20-19,CPD,6,0,2,0
Kato,3,20230903-18-20-19,CRF_ID,6,0,2,0
Kato,3,20230903-18-20-19,FUGW (G+A; official),6,1,2,1
Kato,3,20230903-18-20-19,GeoTransformer,6,1,2,1
Kato,3,20230903-18-20-19,NGM-v2,6,1,2,1
Kato,3,20230903-18-20-19,NeurID (population atlas),6,4,2,1
Kato,3,20230903-18-20-19,NeurID (single medoid),6,1,2,1
Kato,3,20230903-18-20-19,NuCLR,6,0,2,0
Kato,3,20230903-18-20-19,StatAtlas,6,2,2,2
Kato,3,20230903-18-20-19,Vanilla FGW,6,0,2,0
Kato,3,20230903-18-20-19,fDNC,6,1,2,1
Kato,3,20230909-14-26-56,CPD,14,0,5,0
Kato,3,20230909-14-26-56,CRF_ID,14,0,5,0
Kato,3,20230909-14-26-56,FUGW (G+A; official),14,0,5,0
Kato,3,20230909-14-26-56,GeoTransformer,14,5,5,5
Kato,3,20230909-14-26-56,NGM-v2,14,2,5,2
Kato,3,20230909-14-26-56,NeurID (population atlas),14,4,5,3
Kato,3,20230909-14-26-56,NeurID (single medoid),14,5,5,5
Kato,3,20230909-14-26-56,NuCLR,14,0,5,0
Kato,3,20230909-14-26-56,StatAtlas,14,0,5,0
Kato,3,20230909-14-26-56,Vanilla FGW,14,0,5,0
Kato,3,20230909-14-26-56,fDNC,14,3,5,3
Kato,3,20240427-12-43-44,CPD,6,2,4,2
Kato,3,20240427-12-43-44,CRF_ID,6,0,4,0
Kato,3,20240427-12-43-44,FUGW (G+A; official),6,2,4,2
Kato,3,20240427-12-43-44,GeoTransformer,6,0,4,0
Kato,3,20240427-12-43-44,NGM-v2,6,2,4,2
Kato,3,20240427-12-43-44,NeurID (population atlas),6,1,4,1
Kato,3,20240427-12-43-44,NeurID (single medoid),6,4,4,4
Kato,3,20240427-12-43-44,NuCLR,6,0,4,0
Kato,3,20240427-12-43-44,StatAtlas,6,0,4,0
Kato,3,20240427-12-43-44,Vanilla FGW,6,0,4,0
Kato,3,20240427-12-43-44,fDNC,6,1,4,1
Kato,3,20240526-17-36-55,CPD,5,1,3,1
Kato,3,20240526-17-36-55,CRF_ID,5,0,3,0
Kato,3,20240526-17-36-55,FUGW (G+A; official),5,2,3,2
Kato,3,20240526-17-36-55,GeoTransformer,5,3,3,3
Kato,3,20240526-17-36-55,NGM-v2,5,1,3,1
Kato,3,20240526-17-36-55,NeurID (population atlas),5,4,3,3
Kato,3,20240526-17-36-55,NeurID (single medoid),5,3,3,3
Kato,3,20240526-17-36-55,NuCLR,5,0,3,0
Kato,3,20240526-17-36-55,StatAtlas,5,0,3,0
Kato,3,20240526-17-36-55,Vanilla FGW,5,1,3,1
Kato,3,20240526-17-36-55,fDNC,5,1,3,1
Kato,3,20240626-13-55-40,CPD,8,0,4,0
Kato,3,20240626-13-55-40,CRF_ID,8,0,4,0
Kato,3,20240626-13-55-40,FUGW (G+A; official),8,1,4,1
Kato,3,20240626-13-55-40,GeoTransformer,8,1,4,1
Kato,3,20240626-13-55-40,NGM-v2,8,1,4,1
Kato,3,20240626-13-55-40,NeurID (population atlas),8,6,4,3
Kato,3,20240626-13-55-40,NeurID (single medoid),8,4,4,4
Kato,3,20240626-13-55-40,NuCLR,8,0,4,0
Kato,3,20240626-13-55-40,StatAtlas,8,0,4,0
Kato,3,20240626-13-55-40,Vanilla FGW,8,0,4,0
Kato,3,20240626-13-55-40,fDNC,8,1,4,1
Kato,3,20240629-20-22-10,CPD,10,6,6,6
Kato,3,20240629-20-22-10,CRF_ID,10,0,6,0
Kato,3,20240629-20-22-10,FUGW (G+A; official),10,2,6,2
Kato,3,20240629-20-22-10,GeoTransformer,10,4,6,4
Kato,3,20240629-20-22-10,NGM-v2,10,2,6,2
Kato,3,20240629-20-22-10,NeurID (population atlas),10,6,6,5
Kato,3,20240629-20-22-10,NeurID (single medoid),10,6,6,6
Kato,3,20240629-20-22-10,NuCLR,10,0,6,0
Kato,3,20240629-20-22-10,StatAtlas,10,0,6,0
Kato,3,20240629-20-22-10,Vanilla FGW,10,0,6,0
Kato,3,20240629-20-22-10,fDNC,10,4,6,4
Kato,3,20240724-15-48-55,CPD,8,0,4,0
Kato,3,20240724-15-48-55,CRF_ID,8,0,4,0
Kato,3,20240724-15-48-55,FUGW (G+A; official),8,1,4,1
Kato,3,20240724-15-48-55,GeoTransformer,8,4,4,4
Kato,3,20240724-15-48-55,NGM-v2,8,1,4,1
Kato,3,20240724-15-48-55,NeurID (population atlas),8,6,4,3
Kato,3,20240724-15-48-55,NeurID (single medoid),8,4,4,4
Kato,3,20240724-15-48-55,NuCLR,8,0,4,0
Kato,3,20240724-15-48-55,StatAtlas,8,0,4,0
Kato,3,20240724-15-48-55,Vanilla FGW,8,0,4,0
Kato,3,20240724-15-48-55,fDNC,8,1,4,1
Kato,3,20240828-14-57-38,CPD,21,0,5,0
Kato,3,20240828-14-57-38,CRF_ID,21,1,5,0
Kato,3,20240828-14-57-38,FUGW (G+A; official),21,1,5,1
Kato,3,20240828-14-57-38,GeoTransformer,21,1,5,1
Kato,3,20240828-14-57-38,NGM-v2,21,2,5,2
Kato,3,20240828-14-57-38,NeurID (population atlas),21,17,5,4
Kato,3,20240828-14-57-38,NeurID (single medoid),21,4,5,4
Kato,3,20240828-14-57-38,NuCLR,21,0,5,0
Kato,3,20240828-14-57-38,StatAtlas,21,6,5,3
Kato,3,20240828-14-57-38,Vanilla FGW,21,0,5,0
Kato,3,20240828-14-57-38,fDNC,21,3,5,3
Kato,3,20240828-15-51-58,CPD,24,1,6,1
Kato,3,20240828-15-51-58,CRF_ID,24,0,6,0
Kato,3,20240828-15-51-58,FUGW (G+A; official),24,0,6,0
Kato,3,20240828-15-51-58,GeoTransformer,24,2,6,2
Kato,3,20240828-15-51-58,NGM-v2,24,1,6,1
Kato,3,20240828-15-51-58,NeurID (population atlas),24,23,6,5
Kato,3,20240828-15-51-58,NeurID (single medoid),24,6,6,6
Kato,3,20240828-15-51-58,NuCLR,24,0,6,0
Kato,3,20240828-15-51-58,StatAtlas,24,0,6,0
Kato,3,20240828-15-51-58,Vanilla FGW,24,0,6,0
Kato,3,20240828-15-51-58,fDNC,24,3,6,3
Kato,3,20240828-16-23-54,CPD,20,2,5,2
Kato,3,20240828-16-23-54,CRF_ID,20,0,5,0
Kato,3,20240828-16-23-54,FUGW (G+A; official),20,0,5,0
Kato,3,20240828-16-23-54,GeoTransformer,20,2,5,2
Kato,3,20240828-16-23-54,NGM-v2,20,0,5,0
Kato,3,20240828-16-23-54,NeurID (population atlas),20,15,5,5
Kato,3,20240828-16-23-54,NeurID (single medoid),20,5,5,5
Kato,3,20240828-16-23-54,NuCLR,20,0,5,0
Kato,3,20240828-16-23-54,StatAtlas,20,0,5,0
Kato,3,20240828-16-23-54,Vanilla FGW,20,0,5,0
Kato,3,20240828-16-23-54,fDNC,20,2,5,2
Kato,3,20240902-15-36-41,CPD,18,0,6,0
Kato,3,20240902-15-36-41,CRF_ID,18,0,6,0
Kato,3,20240902-15-36-41,FUGW (G+A; official),18,2,6,2
Kato,3,20240902-15-36-41,GeoTransformer,18,2,6,2
Kato,3,20240902-15-36-41,NGM-v2,18,2,6,2
Kato,3,20240902-15-36-41,NeurID (population atlas),18,14,6,6
Kato,3,20240902-15-36-41,NeurID (single medoid),18,6,6,6
Kato,3,20240902-15-36-41,NuCLR,18,0,6,0
Kato,3,20240902-15-36-41,StatAtlas,18,0,6,0
Kato,3,20240902-15-36-41,Vanilla FGW,18,0,6,0
Kato,3,20240902-15-36-41,fDNC,18,3,6,3
Kato,4,20230322-20-16-50,CPD,28,1,2,1
Kato,4,20230322-20-16-50,CRF_ID,28,1,2,0
Kato,4,20230322-20-16-50,FUGW (G+A; official),28,0,2,0
Kato,4,20230322-20-16-50,GeoTransformer,28,1,2,1
Kato,4,20230322-20-16-50,NGM-v2,28,0,2,0
Kato,4,20230322-20-16-50,NeurID (population atlas),28,15,2,2
Kato,4,20230322-20-16-50,NeurID (single medoid),28,2,2,2
Kato,4,20230322-20-16-50,NuCLR,28,0,2,0
Kato,4,20230322-20-16-50,StatAtlas,28,0,2,0
Kato,4,20230322-20-16-50,Vanilla FGW,28,0,2,0
Kato,4,20230322-20-16-50,fDNC,28,2,2,2
Kato,4,20230322-21-09-13,CPD,4,0,0,0
Kato,4,20230322-21-09-13,CRF_ID,4,0,0,0
Kato,4,20230322-21-09-13,FUGW (G+A; official),4,0,0,0
Kato,4,20230322-21-09-13,GeoTransformer,4,0,0,0
Kato,4,20230322-21-09-13,NGM-v2,4,0,0,0
Kato,4,20230322-21-09-13,NeurID (population atlas),4,4,0,0
Kato,4,20230322-21-09-13,NeurID (single medoid),4,0,0,0
Kato,4,20230322-21-09-13,NuCLR,4,0,0,0
Kato,4,20230322-21-09-13,StatAtlas,4,0,0,0
Kato,4,20230322-21-09-13,Vanilla FGW,4,0,0,0
Kato,4,20230322-21-09-13,fDNC,4,0,0,0
Kato,4,20230506-13-32-08,CPD,16,4,6,4
Kato,4,20230506-13-32-08,CRF_ID,16,1,6,1
Kato,4,20230506-13-32-08,FUGW (G+A; official),16,4,6,4
Kato,4,20230506-13-32-08,GeoTransformer,16,2,6,2
Kato,4,20230506-13-32-08,NGM-v2,16,2,6,2
Kato,4,20230506-13-32-08,NeurID (population atlas),16,9,6,1
Kato,4,20230506-13-32-08,NeurID (single medoid),16,3,6,3
Kato,4,20230506-13-32-08,NuCLR,16,0,6,0
Kato,4,20230506-13-32-08,StatAtlas,16,0,6,0
Kato,4,20230506-13-32-08,Vanilla FGW,16,1,6,1
Kato,4,20230506-13-32-08,fDNC,16,3,6,3
Kato,4,20230506-14-24-57,CPD,36,0,5,0
Kato,4,20230506-14-24-57,CRF_ID,36,0,5,0
Kato,4,20230506-14-24-57,FUGW (G+A; official),36,2,5,2
Kato,4,20230506-14-24-57,GeoTransformer,36,2,5,2
Kato,4,20230506-14-24-57,NGM-v2,36,1,5,1
Kato,4,20230506-14-24-57,NeurID (population atlas),36,20,5,3
Kato,4,20230506-14-24-57,NeurID (single medoid),36,4,5,4
Kato,4,20230506-14-24-57,NuCLR,36,0,5,0
Kato,4,20230506-14-24-57,StatAtlas,36,7,5,3
Kato,4,20230506-14-24-57,Vanilla FGW,36,0,5,0
Kato,4,20230506-14-24-57,fDNC,36,3,5,3
Kato,4,20230904-15-59-40,CPD,33,0,3,0
Kato,4,20230904-15-59-40,CRF_ID,33,0,3,0
Kato,4,20230904-15-59-40,FUGW (G+A; official),33,1,3,1
Kato,4,20230904-15-59-40,GeoTransformer,33,1,3,1
Kato,4,20230904-15-59-40,NGM-v2,33,1,3,1
Kato,4,20230904-15-59-40,NeurID (population atlas),33,19,3,2
Kato,4,20230904-15-59-40,NeurID (single medoid),33,2,3,2
Kato,4,20230904-15-59-40,NuCLR,33,0,3,0
Kato,4,20230904-15-59-40,StatAtlas,33,8,3,2
Kato,4,20230904-15-59-40,Vanilla FGW,33,0,3,0
Kato,4,20230904-15-59-40,fDNC,33,3,3,3
Kato,4,20240526-19-51-22,CPD,4,0,1,0
Kato,4,20240526-19-51-22,CRF_ID,4,0,1,0
Kato,4,20240526-19-51-22,FUGW (G+A; official),4,0,1,0
Kato,4,20240526-19-51-22,GeoTransformer,4,1,1,1
Kato,4,20240526-19-51-22,NGM-v2,4,0,1,0
Kato,4,20240526-19-51-22,NeurID (population atlas),4,3,1,1
Kato,4,20240526-19-51-22,NeurID (single medoid),4,1,1,1
Kato,4,20240526-19-51-22,NuCLR,4,0,1,0
Kato,4,20240526-19-51-22,StatAtlas,4,1,1,1
Kato,4,20240526-19-51-22,Vanilla FGW,4,0,1,0
Kato,4,20240526-19-51-22,fDNC,4,0,1,0
Kato,4,20240626-15-08-33,CPD,7,0,1,0
Kato,4,20240626-15-08-33,CRF_ID,7,0,1,0
Kato,4,20240626-15-08-33,FUGW (G+A; official),7,1,1,1
Kato,4,20240626-15-08-33,GeoTransformer,7,0,1,0
Kato,4,20240626-15-08-33,NGM-v2,7,0,1,0
Kato,4,20240626-15-08-33,NeurID (population atlas),7,5,1,0
Kato,4,20240626-15-08-33,NeurID (single medoid),7,1,1,1
Kato,4,20240626-15-08-33,NuCLR,7,0,1,0
Kato,4,20240626-15-08-33,StatAtlas,7,1,1,1
Kato,4,20240626-15-08-33,Vanilla FGW,7,0,1,0
Kato,4,20240626-15-08-33,fDNC,7,0,1,0
Kato,4,20240629-14-48-32,CPD,8,2,3,2
Kato,4,20240629-14-48-32,CRF_ID,8,0,3,0
Kato,4,20240629-14-48-32,FUGW (G+A; official),8,2,3,2
Kato,4,20240629-14-48-32,GeoTransformer,8,2,3,2
Kato,4,20240629-14-48-32,NGM-v2,8,1,3,1
Kato,4,20240629-14-48-32,NeurID (population atlas),8,7,3,3
Kato,4,20240629-14-48-32,NeurID (single medoid),8,3,3,3
Kato,4,20240629-14-48-32,NuCLR,8,0,3,0
Kato,4,20240629-14-48-32,StatAtlas,8,0,3,0
Kato,4,20240629-14-48-32,Vanilla FGW,8,0,3,0
Kato,4,20240629-14-48-32,fDNC,8,3,3,3
Kato,4,20240629-20-59-45,CPD,6,1,3,1
Kato,4,20240629-20-59-45,CRF_ID,6,0,3,0
Kato,4,20240629-20-59-45,FUGW (G+A; official),6,1,3,1
Kato,4,20240629-20-59-45,GeoTransformer,6,0,3,0
Kato,4,20240629-20-59-45,NGM-v2,6,1,3,1
Kato,4,20240629-20-59-45,NeurID (population atlas),6,5,3,3
Kato,4,20240629-20-59-45,NeurID (single medoid),6,3,3,3
Kato,4,20240629-20-59-45,NuCLR,6,0,3,0
Kato,4,20240629-20-59-45,StatAtlas,6,0,3,0
Kato,4,20240629-20-59-45,Vanilla FGW,6,0,3,0
Kato,4,20240629-20-59-45,fDNC,6,2,3,2
Kato,4,20240714-15-24-26,CPD,9,0,0,0
Kato,4,20240714-15-24-26,CRF_ID,9,0,0,0
Kato,4,20240714-15-24-26,FUGW (G+A; official),9,0,0,0
Kato,4,20240714-15-24-26,GeoTransformer,9,0,0,0
Kato,4,20240714-15-24-26,NGM-v2,9,0,0,0
Kato,4,20240714-15-24-26,NeurID (population atlas),9,8,0,0
Kato,4,20240714-15-24-26,NeurID (single medoid),9,0,0,0
Kato,4,20240714-15-24-26,NuCLR,9,0,0,0
Kato,4,20240714-15-24-26,StatAtlas,9,0,0,0
Kato,4,20240714-15-24-26,Vanilla FGW,9,0,0,0
Kato,4,20240714-15-24-26,fDNC,9,0,0,0
Kato,4,20240714-17-28-58,CPD,6,3,3,3
Kato,4,20240714-17-28-58,CRF_ID,6,0,3,0
Kato,4,20240714-17-28-58,FUGW (G+A; official),6,1,3,1
Kato,4,20240714-17-28-58,GeoTransformer,6,2,3,2
Kato,4,20240714-17-28-58,NGM-v2,6,0,3,0
Kato,4,20240714-17-28-58,NeurID (population atlas),6,5,3,3
Kato,4,20240714-17-28-58,NeurID (single medoid),6,3,3,3
Kato,4,20240714-17-28-58,NuCLR,6,0,3,0
Kato,4,20240714-17-28-58,StatAtlas,6,0,3,0
Kato,4,20240714-17-28-58,Vanilla FGW,6,0,3,0
Kato,4,20240714-17-28-58,fDNC,6,2,3,2
Kato,4,20240724-14-26-00,CPD,8,0,1,0
Kato,4,20240724-14-26-00,CRF_ID,8,0,1,0
Kato,4,20240724-14-26-00,FUGW (G+A; official),8,0,1,0
Kato,4,20240724-14-26-00,GeoTransformer,8,0,1,0
Kato,4,20240724-14-26-00,NGM-v2,8,0,1,0
Kato,4,20240724-14-26-00,NeurID (population atlas),8,8,1,1
Kato,4,20240724-14-26-00,NeurID (single medoid),8,1,1,1
Kato,4,20240724-14-26-00,NuCLR,8,0,1,0
Kato,4,20240724-14-26-00,StatAtlas,8,0,1,0
Kato,4,20240724-14-26-00,Vanilla FGW,8,0,1,0
Kato,4,20240724-14-26-00,fDNC,8,0,1,0
Kato,4,20240828-14-16-29,CPD,24,1,5,1
Kato,4,20240828-14-16-29,CRF_ID,24,1,5,0
Kato,4,20240828-14-16-29,FUGW (G+A; official),24,0,5,0
Kato,4,20240828-14-16-29,GeoTransformer,24,2,5,2
Kato,4,20240828-14-16-29,NGM-v2,24,0,5,0
Kato,4,20240828-14-16-29,NeurID (population atlas),24,12,5,4
Kato,4,20240828-14-16-29,NeurID (single medoid),24,4,5,4
Kato,4,20240828-14-16-29,NuCLR,24,0,5,0
Kato,4,20240828-14-16-29,StatAtlas,24,0,5,0
Kato,4,20240828-14-16-29,Vanilla FGW,24,0,5,0
Kato,4,20240828-14-16-29,fDNC,24,3,5,3
Kato,4,20240902-16-53-12,CPD,19,1,4,1
Kato,4,20240902-16-53-12,CRF_ID,19,0,4,0
Kato,4,20240902-16-53-12,FUGW (G+A; official),19,0,4,0
Kato,4,20240902-16-53-12,GeoTransformer,19,3,4,3
Kato,4,20240902-16-53-12,NGM-v2,19,0,4,0
Kato,4,20240902-16-53-12,NeurID (population atlas),19,18,4,4
Kato,4,20240902-16-53-12,NeurID (single medoid),19,4,4,4
Kato,4,20240902-16-53-12,NuCLR,19,0,4,0
Kato,4,20240902-16-53-12,StatAtlas,19,0,4,0
Kato,4,20240902-16-53-12,Vanilla FGW,19,0,4,0
Kato,4,20240902-16-53-12,fDNC,19,4,4,4
Kato,4,20240904-14-55-14,CPD,26,0,6,0
Kato,4,20240904-14-55-14,CRF_ID,26,0,6,0
Kato,4,20240904-14-55-14,FUGW (G+A; official),26,1,6,1
Kato,4,20240904-14-55-14,GeoTransformer,26,4,6,4
Kato,4,20240904-14-55-14,NGM-v2,26,0,6,0
Kato,4,20240904-14-55-14,NeurID (population atlas),26,16,6,6
Kato,4,20240904-14-55-14,NeurID (single medoid),26,6,6,6
Kato,4,20240904-14-55-14,NuCLR,26,0,6,0
Kato,4,20240904-14-55-14,StatAtlas,26,0,6,0
Kato,4,20240904-14-55-14,Vanilla FGW,26,0,6,0
Kato,4,20240904-14-55-14,fDNC,26,4,6,4
Kato,4,20240904-15-32-57,CPD,17,0,4,0
Kato,4,20240904-15-32-57,CRF_ID,17,0,4,0
Kato,4,20240904-15-32-57,FUGW (G+A; official),17,1,4,1
Kato,4,20240904-15-32-57,GeoTransformer,17,0,4,0
Kato,4,20240904-15-32-57,NGM-v2,17,2,4,2
Kato,4,20240904-15-32-57,NeurID (population atlas),17,11,4,3
Kato,4,20240904-15-32-57,NeurID (single medoid),17,3,4,3
Kato,4,20240904-15-32-57,NuCLR,17,0,4,0
Kato,4,20240904-15-32-57,StatAtlas,17,6,4,2
Kato,4,20240904-15-32-57,Vanilla FGW,17,0,4,0
Kato,4,20240904-15-32-57,fDNC,17,3,4,3
Kato,4,20240904-16-51-21,CPD,23,1,5,1
Kato,4,20240904-16-51-21,CRF_ID,23,1,5,1
Kato,4,20240904-16-51-21,FUGW (G+A; official),23,0,5,0
Kato,4,20240904-16-51-21,GeoTransformer,23,3,5,3
Kato,4,20240904-16-51-21,NGM-v2,23,1,5,1
Kato,4,20240904-16-51-21,NeurID (population atlas),23,18,5,4
Kato,4,20240904-16-51-21,NeurID (single medoid),23,4,5,4
