dataset,method,folds,seeds,aggregation,top1_mean,top1_sd,top5_mean,top5_sd,mrr_mean,mrr_sd,hungarian_mean,hungarian_sd
atanas,CPD,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.485659137928858,0.05348072879498077,0.8266302221779208,0.04480100639175161,0.6319291970609806,0.0427483116532166,0.5190242490426853,0.0469438893574564
atanas,fDNC,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.4022662638229811,0.033081530463687114,0.8037548962231581,0.06933052635512037,0.5740762222682829,0.03806459255213483,0.33944739061943857,0.05490559008132348
atanas,NuCLR,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.19100332741575932,0.018742760833457786,0.4440930056223319,0.02308713344953711,0.3183440542291453,0.016581541766843077,0.1983506372348657,0.015465688148094228
atanas,GeoTransformer,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.4545699253894237,0.05212174355758536,0.7308565463641212,0.05250497607320207,0.5696921856029346,0.052665968171113166,0.4140346930868275,0.04813023442621543
rld,CPD,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.26508182940475916,0.10684394078672822,0.6512029085940487,0.27019713380099175,0.42783083736444266,0.129675002216838,0.3041994120486443,0.11378817625864995
rld,fDNC,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.27353328576916747,0.08659037444516349,0.7387565629401972,0.06253251127368756,0.4768728139456714,0.061039493552983506,0.15998938953222472,0.1391228974534587
rld,NuCLR,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.1518356389809273,0.019390961416989698,0.38334440594892316,0.14783022214389463,0.2651744052162971,0.06480045187498247,0.11952556778560366,0.07457633097291269
rld,GeoTransformer,5,3,3 seeds averaged within fold; mean and sample SD across 5 folds,0.25193380476850413,0.11260992125028374,0.48290253800655325,0.19604707475368055,0.3494373096205732,0.1421288784539604,0.13658199970553386,0.06637546780612744
