dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
rld,1,42,15s,15,start,19,298,0.15100671140939598,0.31208053691275167,0.24669593501877798,298,0.12080536912751678
rld,1,42,15s,15,middle,19,298,0.19463087248322147,0.348993288590604,0.28015440833887495,298,0.174496644295302
rld,1,42,15s,15,end,19,298,0.19798657718120805,0.348993288590604,0.2792689973881543,298,0.17785234899328858
rld,1,42,30s,30,start,19,298,0.19463087248322147,0.35906040268456374,0.283248000534639,298,0.18120805369127516
rld,1,42,30s,30,middle,19,298,0.22818791946308725,0.37919463087248323,0.31298696748705496,298,0.24161073825503357
rld,1,42,30s,30,end,19,298,0.17785234899328858,0.3691275167785235,0.2729023209254051,298,0.15100671140939598
rld,1,42,60s,60,start,19,298,0.2080536912751678,0.36577181208053694,0.2921290601082471,298,0.18791946308724833
rld,1,42,60s,60,middle,19,298,0.22818791946308725,0.3926174496644295,0.3117354879687334,298,0.20134228187919462
rld,1,42,60s,60,end,19,298,0.2181208053691275,0.412751677852349,0.3064797334096651,298,0.19463087248322147
rld,1,42,120s,120,start,19,298,0.21140939597315436,0.3691275167785235,0.2968403505915161,298,0.174496644295302
rld,1,42,120s,120,middle,19,298,0.25838926174496646,0.4161073825503356,0.34411959202587317,298,0.21476510067114093
rld,1,42,120s,120,end,19,298,0.2550335570469799,0.4463087248322148,0.3518360153938054,298,0.19463087248322147
rld,1,42,240s,240,start,19,298,0.2516778523489933,0.4463087248322148,0.35799039344799355,298,0.22818791946308725
rld,1,42,240s,240,middle,19,298,0.3187919463087248,0.5436241610738255,0.42028074566588214,298,0.3187919463087248
rld,1,42,240s,240,end,19,298,0.31208053691275167,0.5201342281879194,0.4150700538869338,298,0.2785234899328859
rld,1,42,480s,480,start,19,298,0.4664429530201342,0.62751677852349,0.5436475856401447,298,0.40268456375838924
rld,1,42,480s,480,middle,19,298,0.5335570469798657,0.6912751677852349,0.6088522754361001,298,0.4597315436241611
rld,1,42,480s,480,end,19,298,0.48322147651006714,0.6577181208053692,0.5656270207857474,298,0.4697986577181208
rld,1,42,900s,900,start,19,298,0.6140939597315436,0.7583892617449665,0.6845359831643814,298,0.5939597315436241
rld,1,42,900s,900,middle,19,298,0.6409395973154363,0.7718120805369127,0.7071195660996129,298,0.5906040268456376
rld,1,42,900s,900,end,19,298,0.6208053691275168,0.7583892617449665,0.6886450878810849,298,0.5906040268456376
rld,1,42,full,,full,19,298,0.697986577181208,0.8288590604026845,0.7608625658862185,298,0.6812080536912751
