candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
AIZL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.0671818139964705
RIBL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.03601107621125571
ASEL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.038700217911647634
AVDR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.04676876730342086
AVDL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.03457479493937999
AVJL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.0569299078175284
RIVR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.028812796521686557
AIZR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.004403388241965895
AUAR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.05863713225110518
AUAL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.04104936915871378
RICR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.03344093782836636
RICL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.08534852261723831
M5,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.10480161288429704
AIML,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,0.2718074913736738
AIMR,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.16717005868670387
FLPL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.1593364094410179
ADEL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.15779760745133367
VB02,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.19556127663367162
ADAL,Geometry,82,SAAVL,2022-08-02-01,2022-06-14-13,-0.16371381577010402
I1R,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.16381675243100016
IL2DL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.18890583281877515
I2R,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.16936754164422893
I3,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.18910615321875807
NSMR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.1734780401379955
I2L,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.16633981787452637
MCL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.1700222536188365
NSML,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.17068116152162155
M4,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.1984028672387669
M3R,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.19226673411699322
M3L,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.18798238804715844
IL2VL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.19063351369093853
IL1R,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2309898581076124
OLLL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23567777025200481
IL2L,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2276552484649252
URBR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24420919799088622
OLLR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2530583697975221
IL1DL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.25333874668313344
IL1DR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.26206293988423324
URYVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23750665508327762
IL2R,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23058018771350294
URYDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2538343042039704
IL1L,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23180486793231808
URBL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24588372589875032
OLQDR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.27870220796229317
OLQDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.27449395571237334
RMER,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.26618460628850726
OLQVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2514764300484361
URYVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24051125149602567
RMED,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2885372477152497
RMEL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.25686158872861825
CEPVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2475556093190674
OLQVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24738344480374178
CEPVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23620534250226066
SAAVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2651009847887831
RID,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.27481162110422486
SMDVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.25758786821666535
URXR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.25895438901708884
RIAR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2550348206269911
AVAR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24467482751571326
SAAVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2495236406943256
CEPDR,Geometry,83,CEPDR,2022-08-02-01,2022-06-14-13,0.25629731838053826
URXL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.25288887336755606
CEPDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.24344493305197878
SMDDR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.19736218513671486
RMEV,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.19805817482991597
RIAL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.23060055473622243
AVER,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.21358528024524712
AWAR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.20792889555171348
SMDVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.2121145006722046
AVAL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.1874649308771116
RMDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.1611838361606115
AIBR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.17119023315931503
ASGR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.16712271377119925
AVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.10266360220062762
AVEL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.13376310203911304
ASGL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.12623723169896664
ASHL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.09954222607930985
AIBL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.12046490618076354
AVHL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.0843879900838406
AWBL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.06981154015421835
RIVL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.09735462303834715
AWCL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.05408071395026054
SMDDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.025705192816438557
AVJR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.073637094847335
AIZL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.06188926349533671
RIBL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.0318019721103025
ASEL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.03268321029297342
AVDR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.055851864634358046
AVDL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.029227811490272083
AVJL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.0542077546733065
RIVR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.036720195913733225
AIZR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.013470562294011926
AUAR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.06162396030459783
AUAL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.04575438483560421
RICR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.025761042299906226
RICL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.08846410364091684
M5,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.10516966907804084
AIML,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,0.259204375913723
AIMR,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.1635686735776796
FLPL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.15964034293214766
ADEL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.15729799329457436
VB02,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.1938867068350918
ADAL,Geometry,82,CEPDR,2022-08-02-01,2022-06-14-13,-0.16313472021118175
I1R,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.15866191363366977
IL2DL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.18427285821743264
I2R,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.16360051660323513
I3,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.18415869700713533
NSMR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.16773189325403318
I2L,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.1623889342846281
MCL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.16564774801990956
NSML,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.1667261749286238
M4,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.19382439321158085
M3R,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.1865229868397854
M3L,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.18436767476637478
IL2VL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.18731248087946434
IL1R,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.22475868577648778
OLLL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2335407121894707
IL2L,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.22613266218255051
URBR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2379324055158739
OLLR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24697175664946364
IL1DL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25079347836810845
IL1DR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25718401023144727
URYVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.23205392276242498
IL2R,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.22551674688044338
URYDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25239590017621916
IL1L,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.23091593017221715
URBL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24616160339015358
OLQDR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.27429983368458144
OLQDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.273337611289163
RMER,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2604053981693913
OLQVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24659961950801715
URYVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24027748500057775
RMED,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2860793050907695
RMEL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.26017601629292497
CEPVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2449693412029947
OLQVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24889709750041278
CEPVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.23793875733298356
SAAVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2614768568236954
RID,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2752495689344563
SMDVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2536392987933584
URXR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25697807919369026
RIAR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25335304309900186
AVAR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.24151234561747398
SAAVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25612707953229286
CEPDR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.25135279849615727
URXL,Geometry,83,URXL,2022-08-02-01,2022-06-14-13,0.25816553471165465
CEPDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.249790234131295
SMDDR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.19847854176776922
RMEV,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.20079232217255258
RIAL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2380055516806231
AVER,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.21302706882878922
AWAR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.20652537986653763
SMDVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.2205576937978562
AVAL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.19702629449864673
RMDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.17091456266288607
AIBR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.17174358118311595
ASGR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.16794051849369673
AVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.10591510173781259
AVEL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.143694775323029
ASGL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.13712666559098421
ASHL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.11180676764183561
AIBL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.12458969525597674
AVHL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.09544124233256941
AWBL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.0811144546225463
RIVL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.10733614447339415
AWCL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.06616790136542008
SMDDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.03516088770813412
AVJR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.07443588649213588
AIZL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.07321835979487616
RIBL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.04194047570252519
ASEL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.044201779685352424
AVDR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.05662056647360067
AVDL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.040462930367899705
AVJL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.0640391844489806
RIVR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.03865085126929128
AIZR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.014446846403459205
AUAR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.0522012753188453
AUAL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.03488668364354733
RICR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.023720758819225203
RICL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.07850742192047164
M5,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.09701465028571125
AIML,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,0.32660289063162773
AIMR,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.1586989635265396
FLPL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.1517911207093956
ADEL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.15011995610121762
VB02,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.18779330687701887
ADAL,Geometry,82,URXL,2022-08-02-01,2022-06-14-13,-0.15614117847831147
I1R,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.15441641866060557
IL2DL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.18015136176829746
I2R,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.15906850793144664
I3,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.17989349374794802
NSMR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.1631672208461732
I2L,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.15837762373584144
MCL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.1615235877569878
NSML,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.1626449555732326
M4,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.18934685255179373
M3R,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.1817457325991832
M3L,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.18013585180203395
IL2VL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.18292215457441416
IL1R,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.21941495327323526
OLLL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.229402760479976
IL2L,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.22211675820500168
URBR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2325184503748906
OLLR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24168196590562263
IL1DL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2465413582564165
IL1DR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.252226201129178
URYVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2265981747674447
IL2R,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2199498851957152
URYDL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24839000457633054
IL1L,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2268769606424193
URBL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2424199414945783
OLQDR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2693833038535141
OLQDL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2692960430413399
RMER,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2548781213084579
OLQVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24115173199889262
URYVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.23606950441304586
RMED,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.28174497092061523
RMEL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2569483589465287
CEPVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.23985937176789945
OLQVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24497376611086488
CEPVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.23411354635662465
SAAVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2569437589324642
RID,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2724147401735477
SMDVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24969243525301993
URXR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2537120375909381
RIAR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.2498259877913228
AVAR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.23732634582508869
SAAVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.25483429349212466
CEPDR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.24797474565386815
URXL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.255039485367928
CEPDL,Geometry,83,CEPDL,2022-08-02-01,2022-06-14-13,0.250751380847779
SMDDR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.1947725843689323
RMEV,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.19783356870048144
RIAL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.23755600290018838
AVER,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.20989607790050555
AWAR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.20424807508989232
SMDVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.22111897858453436
AVAL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.19728306396321493
RMDL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.17135028216077947
AIBR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.16994101271881612
ASGR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.16685804476135133
AVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.10452886140335073
AVEL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.14491166037388842
ASGL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.13938743423261157
ASHL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.11453193286169511
AIBL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.12615608199117218
AVHL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.09818268196691018
AWBL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.08382207072381972
RIVL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.11012416989722004
AWCL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.06917498965545155
SMDDL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.03710733438647076
AVJR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.07490728703775765
AIZL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.07663278698883898
RIBL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.044792733479544364
ASEL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.04752572543511098
AVDR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.05713055439239957
AVDL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.04389573741378341
AVJL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.06747007128448962
RIVR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.039900649872153575
AIZR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.015494122324055417
AUAR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.049138192756358244
AUAL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.031163868469241348
RICR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.02225733977263572
RICL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.07452861441966842
M5,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.0928868135567194
AIML,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,0.36325252449129386
AIMR,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.1557209246079614
FLPL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.147419916426179
ADEL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.14577514072841616
VB02,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.18390823586417004
ADAL,Geometry,82,CEPDL,2022-08-02-01,2022-06-14-13,-0.15185321939752847
I1R,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.05732394592215317
IL2DL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.07641442006215754
I2R,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.061722749409979474
I3,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.07692878284264035
NSMR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.06493127301752057
I2L,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.05901429537844798
MCL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.06180930201396824
NSML,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.06259213036119268
M4,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.08556847818303684
M3R,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.0806888283459593
M3L,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.0774895251979609
IL2VL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.08143618493883316
IL1R,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.11879465146036394
OLLL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.12284064839685527
IL2L,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.11606449600704927
URBR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.13317939867401898
OLLR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.14138981040828164
IL1DL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.14051044841347238
IL1DR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.15015841984434655
URYVR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.12976287348577475
IL2R,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.1258892203503607
URYDL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.14300012652494382
IL1L,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.12365690273605827
URBL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.1395084358208216
OLQDR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.17384621865821906
OLQDL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.1693533586680077
RMER,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.16494481566460312
OLQVR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.1522636884548651
URYVL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.13987180258698256
RMED,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.19534168056037374
RMEL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.16744500625483744
CEPVR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.1629517852552902
OLQVL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.16161276792553725
CEPVL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.17026321142567635
SAAVR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.2016975319999939
RID,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.2105533410635617
SMDVR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.20606765678438674
URXR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.2082935308732205
RIAR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.20468460953341308
AVAR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.19781106406281493
SAAVL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.19661063915406513
CEPDR,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.20928869952228946
URXL,Geometry,82,SMDDR,2022-08-02-01,2022-06-14-13,0.20587900371613793
