dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
atanas,3,2022-07-20-01,15s,start,15,0.0,15.02547163493,1600,25,1.6666141893267648
atanas,3,2022-07-20-01,15s,middle,15,474.0398842791328,15.050472434377298,1600,25,1.6666141893267648
atanas,3,2022-07-20-01,15s,end,15,948.0797685614089,14.43795350403525,1600,24,1.6666141893267648
atanas,3,2022-07-20-01,30s,start,30,0.0,30.05321617529262,1600,50,1.6666141893267648
atanas,3,2022-07-20-01,30s,middle,30,466.82829415262677,29.46228884079028,1600,49,1.6666141893267648
atanas,3,2022-07-20-01,30s,end,30,933.0292961301748,29.488425935269333,1600,49,1.6666141893267648
atanas,3,2022-07-20-01,60s,start,60,0.0,60.15188835118897,1600,100,1.6666141893267648
atanas,3,2022-07-20-01,60s,middle,60,451.7846399367554,59.556415642029606,1600,99,1.6666141893267648
atanas,3,2022-07-20-01,60s,end,60,902.9760797424242,59.541642323019914,1600,99,1.6666141893267648
atanas,3,2022-07-20-01,120s,start,120,0.0,120.31627769512124,1600,200,1.6666141893267648
atanas,3,2022-07-20-01,120s,middle,120,421.68824039702304,119.75376025820151,1600,199,1.6666141893267648
atanas,3,2022-07-20-01,120s,end,120,842.8150996929035,119.70262237254065,1600,199,1.6666141893267648
atanas,3,2022-07-20-01,240s,start,240,0.0,240.01662706537172,1600,399,1.6666141893267648
atanas,3,2022-07-20-01,240s,middle,240,361.53635164001025,240.007536026882,1600,399,1.6666141893267648
atanas,3,2022-07-20-01,240s,end,240,723.115886880667,239.40183518477716,1600,398,1.6666141893267648
atanas,3,2022-07-20-01,480s,start,480,0.0,480.065073409467,1600,798,1.6666141893267648
atanas,3,2022-07-20-01,480s,middle,480,241.8144109401619,479.473236602149,1600,797,1.6666141893267648
atanas,3,2022-07-20-01,480s,end,480,483.0651675199624,479.4525545454817,1600,797,1.6666141893267648
atanas,3,2022-07-20-01,900s,start,900,0.0,900.5657767151715,1600,1497,1.6666141893267648
atanas,3,2022-07-20-01,900s,middle,900,31.275981855229475,900.5464581019478,1600,1497,1.6666141893267648
atanas,3,2022-07-20-01,900s,end,900,62.57696465810295,899.9407574073412,1600,1496,1.6666141893267648
atanas,3,2022-07-20-01,full,full,,0.0,962.5177220654441,1600,1600,1.6666141893267648
atanas,3,2022-06-14-01,15s,start,15,0.0,15.067139856645554,1600,25,1.6666142380145095
atanas,3,2022-06-14-01,15s,middle,15,474.08155235288814,15.000470929212497,1600,25,1.6666142380145095
atanas,3,2022-06-14-01,15s,end,15,948.106436412354,14.440453359199637,1600,24,1.6666142380145095
atanas,3,2022-06-14-01,30s,start,30,0.0,30.140340330827712,1600,50,1.6666142380145095
atanas,3,2022-06-14-01,30s,middle,30,466.85177992064746,29.480471106483492,1600,49,1.6666142380145095
