method,display_name,fold,hungarian,mrr,queries,top1,top5
crf_id_dagger,CRF_ID†,1,0.9298642533936652,0.9567923733506313,3536,0.9250565610859729,0.9968891402714932
crf_id_dagger,CRF_ID†,2,0.9792615073343449,0.988703422694318,3954,0.9782498735457764,1.0
crf_id_dagger,CRF_ID†,3,0.9791666666666666,0.9906684027777777,768,0.9817708333333334,1.0
crf_id_dagger,CRF_ID†,4,0.9659340659340659,0.9808791208791208,1820,0.9626373626373627,0.9994505494505495
crf_id_dagger,CRF_ID†,5,0.9480874316939891,0.9731329690346083,1464,0.9474043715846995,1.0
crf_id_dagger,CRF_ID†,6,0.976545842217484,0.9888059701492538,938,0.9786780383795309,1.0
crf_id_dagger,CRF_ID†,7,0.9799357945425361,0.9853599650750533,2492,0.9747191011235955,0.9979935794542536
crf_id_dagger,CRF_ID†,8,0.9816849816849816,0.9907661782661781,2184,0.9826007326007326,1.0
