method,display_name,fold,test_fish,seed,queries,top1,top5,mrr,hungarian,source_record
ngm_v2,NGM-v2,2,func_20150417,42,3954,0.8737986848760748,0.9871016691957512,0.923512660272903,0.8715225088517956,../runs/zebrafish_ngmv2_lofo8_seed42/fold_2/summary.json
vanilla_fgw,Vanilla FGW,2,func_20150417,,3954,0.8457258472432979,1.0,0.9199839824650142,0.8396560445118867,../runs/zebrafish_vanilla_fgw_lofo8/fold_2/summary.json
fugw_ga_official,FUGW (G+A; official),2,func_20150417,,3954,0.7870510875063227,0.9926656550328781,0.8794773635031219,0.9185634800202327,../runs/zebrafish_fugw_official_ga_lofo8/fold_2/test_metrics.json
statatlas,StatAtlas,2,func_20150417,,3954,0.9350025290844715,0.9992412746585736,0.9627550160175352,0.9372787051087507,../runs/zebrafish_statatlas_table1_core_lofo8_v1/test/fold_2/metrics.json
crf_id_dagger,CRF_ID†,2,func_20150417,,3954,0.9782498735457764,1.0,0.988703422694318,0.9792615073343449,../runs/zebrafish_crfid_table1_core_lofo8_v1/test/fold_2/metrics.json
ours,Ours,2,func_20150417,42,3954,0.996206373292868,1.0,0.9981031866464339,0.9944360141628731,../runs/mprt_v1_1/zebrafish_lofo8_seed42/fold_2/seed42/full/test_metrics.json
cpd,CPD,3,func_20161004,,768,0.8776041666666666,1.0,0.9345703125,0.9244791666666666,../runs/mprt_v1_1/zebrafish_lofo8_seed42/baselines/fold_3/cpd.json
fdnc,fDNC,3,func_20161004,42,768,0.9453125,1.0,0.97265625,1.0,../runs/zebrafish_spatial_baselines_lofo8_seed42/fold_3/fdnc/summary.json
nuclr,NuCLR,3,func_20161004,42,768,0.01953125,0.11588541666666667,0.0948188674090009,0.018229166666666668,../runs/zebrafish_nuclr_lofo8_seed42/fold_3/summary.json
geotransformer,GeoTransformer,3,func_20161004,42,768,0.703125,0.87890625,0.7786907951037089,0.6848958333333334,../runs/zebrafish_geotransformer_lofo8_seed42/fold_3/summary.json
ngm_v2,NGM-v2,3,func_20161004,42,768,0.8177083333333334,0.9934895833333334,0.8916248139880952,0.8072916666666666,../runs/zebrafish_ngmv2_lofo8_seed42/fold_3/summary.json
vanilla_fgw,Vanilla FGW,3,func_20161004,,768,0.984375,1.0,0.9921875,0.984375,../runs/zebrafish_vanilla_fgw_lofo8/fold_3/summary.json
fugw_ga_official,FUGW (G+A; official),3,func_20161004,,768,0.7083333333333334,0.9622395833333334,0.8224759898374138,0.8255208333333334,../runs/zebrafish_fugw_official_ga_lofo8/fold_3/test_metrics.json
statatlas,StatAtlas,3,func_20161004,,768,0.9752604166666666,1.0,0.9876302083333334,0.9791666666666666,../runs/zebrafish_statatlas_table1_core_lofo8_v1/test/fold_3/metrics.json
crf_id_dagger,CRF_ID†,3,func_20161004,,768,0.9817708333333334,1.0,0.9906684027777777,0.9791666666666666,../runs/zebrafish_crfid_table1_core_lofo8_v1/test/fold_3/metrics.json
