dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
atanas,4,42,15s,15,3,7,611,0.3944353518821604,0.02454991816693941,0.2744135297326787,0.5771958537915984,0.41627645267558605,0.26404800872885975
atanas,4,42,30s,30,3,7,611,0.41189307146753956,0.018003273322422242,0.29078014184397166,0.6126568466993999,0.4380064803248234,0.2913256955810148
atanas,4,42,60s,60,3,7,611,0.4495362793235133,0.031096563011456635,0.31478450627386795,0.6535733769776323,0.4701434033111775,0.3158756137479542
atanas,4,42,120s,120,3,7,611,0.48336061102018546,0.039279869067103124,0.35733769776322966,0.7195853791598473,0.5170428116392097,0.3442444080741953
atanas,4,42,240s,240,3,7,611,0.5924713584288053,0.027823240589197995,0.5117294053464266,0.8254228041462084,0.6518055427463015,0.5090016366612111
atanas,4,42,480s,480,3,7,611,0.7430441898527005,0.016366612111292977,0.7114020731042007,0.9018003273322422,0.7992246000977654,0.7054009819967266
atanas,4,42,900s,900,3,7,611,0.8636115657392253,0.018003273322422242,0.7959629023458811,0.9236224768139661,0.8525780130890422,0.7937806873977088
atanas,4,42,full,,1,7,611,1.0,0.0,0.8216039279869067,0.9198036006546645,0.8667464541617467,0.8199672667757774
