method,display_name,fold,hungarian,mrr,queries,top1,top5
statatlas,StatAtlas,1,0.4626696832579186,0.5538285069126535,3536,0.45588235294117646,0.6504524886877828
statatlas,StatAtlas,2,0.9372787051087507,0.9627550160175352,3954,0.9350025290844715,0.9992412746585736
statatlas,StatAtlas,3,0.9791666666666666,0.9876302083333334,768,0.9752604166666666,1.0
statatlas,StatAtlas,4,0.9637362637362638,0.9706959706959702,1820,0.9439560439560439,1.0
statatlas,StatAtlas,5,0.9890710382513661,0.9849726775956282,1464,0.9706284153005464,1.0
statatlas,StatAtlas,6,0.9637526652452025,0.9707178393745559,938,0.9434968017057569,1.0
statatlas,StatAtlas,7,0.9863563402889246,0.9865904226859283,2492,0.973916532905297,1.0
statatlas,StatAtlas,8,0.9816849816849816,0.9830738705738705,2184,0.9674908424908425,1.0
