dataset,fold,seed,duration_key,duration_seconds,positions,recordings,queries_per_position,prediction_pair_agreement,position_top1_range,top1_real,top5_real,mrr_real,hungarian_accuracy
rld,3,42,15s,15,3,19,296,0.28490990990990994,0.0641891891891892,0.15765765765765763,0.3513513513513513,0.2570391033714103,0.14527027027027029
rld,3,42,30s,30,3,19,296,0.22747747747747746,0.010135135135135143,0.18581081081081083,0.38063063063063063,0.2827699086675786,0.16103603603603603
rld,3,42,60s,60,3,19,296,0.28153153153153154,0.06418918918918917,0.1768018018018018,0.365990990990991,0.2708529843375385,0.15315315315315314
rld,3,42,120s,120,3,19,296,0.365990990990991,0.030405405405405428,0.21734234234234232,0.4065315315315315,0.31168814791536814,0.19256756756756757
rld,3,42,240s,240,3,19,296,0.42342342342342343,0.057432432432432456,0.2939189189189189,0.49887387387387383,0.3930463156263107,0.259009009009009
rld,3,42,480s,480,3,19,296,0.5923423423423423,0.06756756756756754,0.490990990990991,0.7083333333333334,0.5935752285018447,0.4583333333333333
rld,3,42,900s,900,3,19,296,0.7094594594594594,0.04054054054054057,0.6193693693693694,0.8006756756756758,0.6991760872311038,0.5889639639639639
rld,3,42,full,,1,19,296,1.0,0.0,0.6351351351351351,0.8074324324324325,0.7113373252972762,0.6216216216216216
