dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
rld,3,42,15s,15,start,19,296,0.19594594594594594,0.3918918918918919,0.2958695844792221,296,0.1891891891891892
rld,3,42,15s,15,middle,19,296,0.13175675675675674,0.32094594594594594,0.23124684753147032,296,0.125
rld,3,42,15s,15,end,19,296,0.14527027027027026,0.34121621621621623,0.2440008781035383,296,0.12162162162162163
rld,3,42,30s,30,start,19,296,0.1891891891891892,0.39864864864864863,0.29569482169416755,296,0.16554054054054054
rld,3,42,30s,30,middle,19,296,0.17905405405405406,0.375,0.2715876277403276,296,0.14864864864864866
rld,3,42,30s,30,end,19,296,0.1891891891891892,0.36824324324324326,0.2810272765682408,296,0.16891891891891891
rld,3,42,60s,60,start,19,296,0.13513513513513514,0.35135135135135137,0.23989311570175081,296,0.13851351351351351
rld,3,42,60s,60,middle,19,296,0.19932432432432431,0.3885135135135135,0.29224115171507414,296,0.17905405405405406
rld,3,42,60s,60,end,19,296,0.19594594594594594,0.3581081081081081,0.28042468559579065,296,0.14189189189189189
rld,3,42,120s,120,start,19,296,0.19932432432432431,0.3918918918918919,0.2993913222899718,296,0.1891891891891892
rld,3,42,120s,120,middle,19,296,0.22297297297297297,0.4358108108108108,0.31872073220940617,296,0.1891891891891892
rld,3,42,120s,120,end,19,296,0.22972972972972974,0.3918918918918919,0.31695238924672653,296,0.19932432432432431
rld,3,42,240s,240,start,19,296,0.2668918918918919,0.46621621621621623,0.35977761543794695,296,0.23310810810810811
rld,3,42,240s,240,middle,19,296,0.2905405405405405,0.5168918918918919,0.40077652067240244,296,0.2702702702702703
rld,3,42,240s,240,end,19,296,0.32432432432432434,0.5135135135135135,0.41858481076858284,296,0.27364864864864863
rld,3,42,480s,480,start,19,296,0.44932432432432434,0.6756756756756757,0.554941097396015,296,0.3952702702702703
rld,3,42,480s,480,middle,19,296,0.5067567567567568,0.722972972972973,0.6111776004439746,296,0.4797297297297297
rld,3,42,480s,480,end,19,296,0.5168918918918919,0.7263513513513513,0.6146069876655444,296,0.5
rld,3,42,900s,900,start,19,296,0.6013513513513513,0.8040540540540541,0.69019792908301,296,0.581081081081081
rld,3,42,900s,900,middle,19,296,0.6418918918918919,0.8074324324324325,0.7145928780299444,296,0.6081081081081081
rld,3,42,900s,900,end,19,296,0.6148648648648649,0.7905405405405406,0.692737454580357,296,0.5777027027027027
rld,3,42,full,,full,19,296,0.6351351351351351,0.8074324324324325,0.7113373252972762,296,0.6216216216216216
